i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;tabou;32;filltruck;2080;5;868;5;975;1000;20
0;A3305.txt;tabou;33;filltruck;1886;5;687;5;838;1000;20
0;A3306.txt;tabou;33;filltruck;1593;7;788;6;1078;1000;20
0;A3405.txt;tabou;34;filltruck;2073;6;894;6;1080;1000;20
0;A3605.txt;tabou;36;filltruck;1991;5;886;5;922;1000;20
0;A3705.txt;tabou;37;filltruck;1593;5;774;5;1875;1000;20
0;A3706.txt;tabou;37;filltruck;2050;7;1111;7;1074;1000;20
0;A3805.txt;tabou;38;filltruck;2251;6;814;5;961;1000;20
0;A3905.txt;tabou;39;filltruck;2377;6;894;5;1286;1000;20
0;A3906.txt;tabou;39;filltruck;2385;6;1118;6;1113;1000;20
0;A4406.txt;tabou;44;filltruck;2603;7;1267;6;1263;1000;20
0;A4506.txt;tabou;45;filltruck;2815;7;1192;7;1667;1000;20
0;A4507.txt;tabou;45;filltruck;2775;7;1320;7;1188;1000;20
0;A4607.txt;tabou;46;filltruck;2693;7;1071;7;1658;1000;20
0;A5307.txt;tabou;53;filltruck;3300;8;1118;7;2075;1000;20
0;A5407.txt;tabou;54;filltruck;3491;8;1380;8;3599;1000;20
0;A5509.txt;tabou;55;filltruck;2950;9;1399;9;2158;1000;20
0;A6009.txt;tabou;60;filltruck;3770;10;1563;9;3984;1000;20
0;A6109.txt;tabou;61;filltruck;3236;11;1318;10;3270;1000;20
0;A6208.txt;tabou;62;filltruck;3474;8;1514;8;3000;1000;20
0;A6310.txt;tabou;63;filltruck;3706;11;1555;10;3116;1000;20
0;A6409.txt;tabou;64;filltruck;3734;10;1578;9;4183;1000;20
0;A6509.txt;tabou;65;filltruck;3673;10;1585;10;5395;1000;20
0;A6909.txt;tabou;69;filltruck;4196;10;1473;9;3391;1000;20
0;A8010.txt;tabou;80;filltruck;5166;11;2120;10;6365;1000;20
1;A3205.txt;tabou;32;filltruck;2080;5;886;5;767;1000;40
1;A3305.txt;tabou;33;filltruck;1886;5;752;5;855;1000;40
1;A3306.txt;tabou;33;filltruck;1593;7;788;6;993;1000;40
1;A3405.txt;tabou;34;filltruck;2073;6;810;5;1135;1000;40
1;A3605.txt;tabou;36;filltruck;1991;5;885;5;1564;1000;40
1;A3705.txt;tabou;37;filltruck;1593;5;730;5;2063;1000;40
1;A3706.txt;tabou;37;filltruck;2050;7;1111;7;1065;1000;40
1;A3805.txt;tabou;38;filltruck;2251;6;817;5;1072;1000;40
1;A3905.txt;tabou;39;filltruck;2377;6;899;5;1422;1000;40
1;A3906.txt;tabou;39;filltruck;2385;6;986;6;1685;1000;40
1;A4406.txt;tabou;44;filltruck;2603;7;1098;6;1698;1000;40
1;A4506.txt;tabou;45;filltruck;2815;7;1192;7;1623;1000;40
1;A4507.txt;tabou;45;filltruck;2775;7;1278;7;1682;1000;40
1;A4607.txt;tabou;46;filltruck;2693;7;1100;7;1235;1000;40
1;A5307.txt;tabou;53;filltruck;3300;8;1109;8;3857;1000;40
1;A5407.txt;tabou;54;filltruck;3491;8;1331;7;2489;1000;40
1;A5509.txt;tabou;55;filltruck;2950;9;1232;9;2549;1000;40
1;A6009.txt;tabou;60;filltruck;3770;10;1601;9;4540;1000;40
1;A6109.txt;tabou;61;filltruck;3236;11;1266;10;4691;1000;40
1;A6208.txt;tabou;62;filltruck;3474;8;1677;8;3622;1000;40
1;A6310.txt;tabou;63;filltruck;3706;11;1485;10;3859;1000;40
1;A6409.txt;tabou;64;filltruck;3734;10;1541;9;4425;1000;40
1;A6509.txt;tabou;65;filltruck;3673;10;1426;10;3222;1000;40
1;A6909.txt;tabou;69;filltruck;4196;10;1337;9;4479;1000;40
1;A8010.txt;tabou;80;filltruck;5166;11;2073;10;9083;1000;40
2;A3205.txt;tabou;32;filltruck;2080;5;941;5;1860;1000;60
2;A3305.txt;tabou;33;filltruck;1886;5;697;5;1229;1000;60
2;A3306.txt;tabou;33;filltruck;1593;7;788;6;1044;1000;60
2;A3405.txt;tabou;34;filltruck;2073;6;844;5;1377;1000;60
2;A3605.txt;tabou;36;filltruck;1991;5;958;5;1841;1000;60
2;A3705.txt;tabou;37;filltruck;1593;5;730;5;2621;1000;60
2;A3706.txt;tabou;37;filltruck;2050;7;1111;7;1110;1000;60
2;A3805.txt;tabou;38;filltruck;2251;6;785;6;2306;1000;60
2;A3905.txt;tabou;39;filltruck;2377;6;939;5;1677;1000;60
2;A3906.txt;tabou;39;filltruck;2385;6;1118;6;1156;1000;60
2;A4406.txt;tabou;44;filltruck;2603;7;1168;6;1855;1000;60
2;A4506.txt;tabou;45;filltruck;2815;7;1214;7;1653;1000;60
2;A4507.txt;tabou;45;filltruck;2775;7;1248;7;1149;1000;60
2;A4607.txt;tabou;46;filltruck;2693;7;1000;7;2553;1000;60
2;A5307.txt;tabou;53;filltruck;3300;8;1285;7;3465;1000;60
2;A5407.txt;tabou;54;filltruck;3491;8;1274;8;4723;1000;60
2;A5509.txt;tabou;55;filltruck;2950;9;1169;9;2049;1000;60
2;A6009.txt;tabou;60;filltruck;3770;10;1615;9;4391;1000;60
2;A6109.txt;tabou;61;filltruck;3236;11;1181;10;4461;1000;60
