i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;recuit;32;filltruck;2080;5;1068;5;339;100000;0.95
0;A3305.txt;recuit;33;filltruck;1886;5;799;5;220;100000;0.95
0;A3306.txt;recuit;33;filltruck;1593;7;839;6;167;100000;0.95
0;A3405.txt;recuit;34;filltruck;2073;6;799;5;156;100000;0.95
0;A3605.txt;recuit;36;filltruck;1991;5;893;5;160;100000;0.95
0;A3705.txt;recuit;37;filltruck;1593;5;761;5;165;100000;0.95
0;A3706.txt;recuit;37;filltruck;2050;7;1183;6;192;100000;0.95
0;A3805.txt;recuit;38;filltruck;2251;6;851;5;173;100000;0.95
0;A3905.txt;recuit;39;filltruck;2377;6;1033;5;171;100000;0.95
0;A3906.txt;recuit;39;filltruck;2385;6;972;6;178;100000;0.95
0;A4406.txt;recuit;44;filltruck;2603;7;1186;6;208;100000;0.95
0;A4506.txt;recuit;45;filltruck;2815;7;1240;7;195;100000;0.95
0;A4507.txt;recuit;45;filltruck;2775;7;1315;7;194;100000;0.95
0;A4607.txt;recuit;46;filltruck;2693;7;1098;7;194;100000;0.95
0;A5307.txt;recuit;53;filltruck;3300;8;1295;8;217;100000;0.95
0;A5407.txt;recuit;54;filltruck;3491;8;1439;8;216;100000;0.95
0;A5509.txt;recuit;55;filltruck;2950;9;1253;10;253;100000;0.95
0;A6009.txt;recuit;60;filltruck;3770;10;1539;9;237;100000;0.95
0;A6109.txt;recuit;61;filltruck;3236;11;1171;10;244;100000;0.95
0;A6208.txt;recuit;62;filltruck;3474;8;1682;8;235;100000;0.95
0;A6310.txt;recuit;63;filltruck;3706;11;1662;10;251;100000;0.95
0;A6409.txt;recuit;64;filltruck;3734;10;1701;9;242;100000;0.95
0;A6509.txt;recuit;65;filltruck;3673;10;1464;10;255;100000;0.95
0;A6909.txt;recuit;69;filltruck;4196;10;1375;9;253;100000;0.95
0;A8010.txt;recuit;80;filltruck;5166;11;2227;10;286;100000;0.95
1;A3205.txt;recuit;32;filltruck;2080;5;910;5;145;100000;0.95
1;A3305.txt;recuit;33;filltruck;1886;5;839;6;155;100000;0.95
1;A3306.txt;recuit;33;filltruck;1593;7;793;6;160;100000;0.95
1;A3405.txt;recuit;34;filltruck;2073;6;894;5;153;100000;0.95
1;A3605.txt;recuit;36;filltruck;1991;5;941;5;158;100000;0.95
1;A3705.txt;recuit;37;filltruck;1593;5;733;5;161;100000;0.95
1;A3706.txt;recuit;37;filltruck;2050;7;1117;6;171;100000;0.95
1;A3805.txt;recuit;38;filltruck;2251;6;897;6;172;100000;0.95
1;A3905.txt;recuit;39;filltruck;2377;6;991;5;170;100000;0.95
1;A3906.txt;recuit;39;filltruck;2385;6;1025;6;177;100000;0.95
1;A4406.txt;recuit;44;filltruck;2603;7;1233;7;191;100000;0.95
1;A4506.txt;recuit;45;filltruck;2815;7;1178;7;195;100000;0.95
1;A4507.txt;recuit;45;filltruck;2775;7;1348;7;193;100000;0.95
1;A4607.txt;recuit;46;filltruck;2693;7;1180;7;199;100000;0.95
1;A5307.txt;recuit;53;filltruck;3300;8;1242;8;213;100000;0.95
1;A5407.txt;recuit;54;filltruck;3491;8;1501;7;214;100000;0.95
1;A5509.txt;recuit;55;filltruck;2950;9;1359;9;226;100000;0.95
1;A6009.txt;recuit;60;filltruck;3770;10;1683;9;238;100000;0.95
1;A6109.txt;recuit;61;filltruck;3236;11;1426;10;246;100000;0.95
1;A6208.txt;recuit;62;filltruck;3474;8;1800;8;228;100000;0.95
1;A6310.txt;recuit;63;filltruck;3706;11;1609;10;247;100000;0.95
1;A6409.txt;recuit;64;filltruck;3734;10;1772;9;238;100000;0.95
1;A6509.txt;recuit;65;filltruck;3673;10;1347;10;251;100000;0.95
1;A6909.txt;recuit;69;filltruck;4196;10;1380;9;260;100000;0.95
1;A8010.txt;recuit;80;filltruck;5166;11;2114;10;279;100000;0.95
2;A3205.txt;recuit;32;filltruck;2080;5;887;5;151;100000;0.95
2;A3305.txt;recuit;33;filltruck;1886;5;703;5;153;100000;0.95
2;A3306.txt;recuit;33;filltruck;1593;7;785;6;159;100000;0.95
2;A3405.txt;recuit;34;filltruck;2073;6;975;5;158;100000;0.95
2;A3605.txt;recuit;36;filltruck;1991;5;885;5;160;100000;0.95
2;A3705.txt;recuit;37;filltruck;1593;5;775;5;162;100000;0.95
2;A3706.txt;recuit;37;filltruck;2050;7;1158;6;172;100000;0.95
2;A3805.txt;recuit;38;filltruck;2251;6;903;6;170;100000;0.95
2;A3905.txt;recuit;39;filltruck;2377;6;1040;5;166;100000;0.95
2;A3906.txt;recuit;39;filltruck;2385;6;990;6;172;100000;0.95
2;A4406.txt;recuit;44;filltruck;2603;7;1236;6;192;100000;0.95
2;A4506.txt;recuit;45;filltruck;2815;7;1108;7;191;100000;0.95
2;A4507.txt;recuit;45;filltruck;2775;7;1291;7;189;100000;0.95
2;A4607.txt;recuit;46;filltruck;2693;7;1214;7;194;100000;0.95
2;A5307.txt;recuit;53;filltruck;3300;8;1104;8;214;100000;0.95
2;A5407.txt;recuit;54;filltruck;3491;8;1384;8;218;100000;0.95
2;A5509.txt;recuit;55;filltruck;2950;9;1244;9;231;100000;0.95
2;A6009.txt;recuit;60;filltruck;3770;10;1633;9;244;100000;0.95
2;A6109.txt;recuit;61;filltruck;3236;11;1209;10;245;100000;0.95
2;A6208.txt;recuit;62;filltruck;3474;8;1480;8;231;100000;0.95
2;A6310.txt;recuit;63;filltruck;3706;11;1612;10;249;100000;0.95
2;A6409.txt;recuit;64;filltruck;3734;10;1691;9;243;100000;0.95
2;A6509.txt;recuit;65;filltruck;3673;10;1335;10;251;100000;0.95
2;A6909.txt;recuit;69;filltruck;4196;10;1424;9;256;100000;0.95
2;A8010.txt;recuit;80;filltruck;5166;11;2144;11;287;100000;0.95
3;A3205.txt;recuit;32;filltruck;2080;5;1083;5;147;100000;0.95
3;A3305.txt;recuit;33;filltruck;1886;5;777;5;150;100000;0.95
3;A3306.txt;recuit;33;filltruck;1593;7;790;6;160;100000;0.95
3;A3405.txt;recuit;34;filltruck;2073;6;983;6;163;100000;0.95
3;A3605.txt;recuit;36;filltruck;1991;5;1005;5;159;100000;0.95
