i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;recuit;32;greedy;3740;31;974;5;2462;1000000;0.97
0;A3305.txt;recuit;33;greedy;2618;32;830;6;2387;1000000;0.97
0;A3306.txt;recuit;33;greedy;2544;32;832;6;2177;1000000;0.97
0;A3405.txt;recuit;34;greedy;3155;33;905;6;2183;1000000;0.97
0;A3605.txt;recuit;36;greedy;3896;35;921;5;2194;1000000;0.97
0;A3705.txt;recuit;37;greedy;2755;36;789;5;2202;1000000;0.97
0;A3706.txt;recuit;37;greedy;3812;36;1106;6;2112;1000000;0.97
0;A3805.txt;recuit;38;greedy;3075;37;811;6;1954;1000000;0.97
0;A3905.txt;recuit;39;greedy;3618;38;1133;5;1964;1000000;0.97
0;A3906.txt;recuit;39;greedy;3489;38;934;6;2115;1000000;0.97
0;A4406.txt;recuit;44;greedy;4168;43;1187;6;2180;1000000;0.97
0;A4506.txt;recuit;45;greedy;4284;44;1128;7;2258;1000000;0.97
0;A4507.txt;recuit;45;greedy;5114;44;1286;7;2212;1000000;0.97
0;A4607.txt;recuit;46;greedy;4039;45;1019;7;2281;1000000;0.97
0;A5307.txt;recuit;53;greedy;5026;52;1266;7;2452;1000000;0.97
0;A5407.txt;recuit;54;greedy;5774;53;1573;7;2459;1000000;0.97
0;A5509.txt;recuit;55;greedy;4377;54;1200;9;2605;1000000;0.97
0;A6009.txt;recuit;60;greedy;6329;59;1608;9;2770;1000000;0.97
0;A6109.txt;recuit;61;greedy;4470;60;1197;10;3026;1000000;0.97
0;A6208.txt;recuit;62;greedy;7106;61;1594;8;2813;1000000;0.97
0;A6310.txt;recuit;63;greedy;5761;62;1645;10;2883;1000000;0.97
0;A6409.txt;recuit;64;greedy;7632;63;1710;9;2871;1000000;0.97
0;A6509.txt;recuit;65;greedy;5722;64;1371;10;2923;1000000;0.97
0;A6909.txt;recuit;69;greedy;5513;68;1359;10;3021;1000000;0.97
0;A8010.txt;recuit;80;greedy;11153;79;2116;10;3293;1000000;0.97
1;A3205.txt;recuit;32;greedy;3740;31;931;5;1747;1000000;0.97
1;A3305.txt;recuit;33;greedy;2618;32;771;5;1823;1000000;0.97
1;A3306.txt;recuit;33;greedy;2544;32;947;6;1837;1000000;0.97
1;A3405.txt;recuit;34;greedy;3155;33;855;5;1810;1000000;0.97
1;A3605.txt;recuit;36;greedy;3896;35;888;5;1824;1000000;0.97
1;A3705.txt;recuit;37;greedy;2755;36;911;5;1793;1000000;0.97
1;A3706.txt;recuit;37;greedy;3812;36;1171;6;1931;1000000;0.97
1;A3805.txt;recuit;38;greedy;3075;37;851;5;1848;1000000;0.97
1;A3905.txt;recuit;39;greedy;3618;38;948;5;1854;1000000;0.97
1;A3906.txt;recuit;39;greedy;3489;38;927;6;1900;1000000;0.97
1;A4406.txt;recuit;44;greedy;4168;43;1192;6;2150;1000000;0.97
1;A4506.txt;recuit;45;greedy;4284;44;1231;7;2127;1000000;0.97
1;A4507.txt;recuit;45;greedy;5114;44;1400;7;2140;1000000;0.97
1;A4607.txt;recuit;46;greedy;4039;45;1013;7;2170;1000000;0.97
1;A5307.txt;recuit;53;greedy;5026;52;1122;8;2397;1000000;0.97
1;A5407.txt;recuit;54;greedy;5774;53;1494;7;2401;1000000;0.97
1;A5509.txt;recuit;55;greedy;4377;54;1187;10;2626;1000000;0.97
1;A6009.txt;recuit;60;greedy;6329;59;1702;9;2643;1000000;0.97
1;A6109.txt;recuit;61;greedy;4470;60;1299;10;2881;1000000;0.97
1;A6208.txt;recuit;62;greedy;7106;61;1579;8;2641;1000000;0.97
1;A6310.txt;recuit;63;greedy;5761;62;1513;10;2878;1000000;0.97
1;A6409.txt;recuit;64;greedy;7632;63;1608;9;2785;1000000;0.97
1;A6509.txt;recuit;65;greedy;5722;64;1375;10;2906;1000000;0.97
1;A6909.txt;recuit;69;greedy;5513;68;1265;10;2999;1000000;0.97
1;A8010.txt;recuit;80;greedy;11153;79;2281;10;3270;1000000;0.97
2;A3205.txt;recuit;32;greedy;3740;31;1119;5;1736;1000000;0.97
2;A3305.txt;recuit;33;greedy;2618;32;708;5;1991;1000000;0.97
2;A3306.txt;recuit;33;greedy;2544;32;850;6;1870;1000000;0.97
2;A3405.txt;recuit;34;greedy;3155;33;937;6;1868;1000000;0.97
2;A3605.txt;recuit;36;greedy;3896;35;964;5;1840;1000000;0.97
2;A3705.txt;recuit;37;greedy;2755;36;747;5;1858;1000000;0.97
2;A3706.txt;recuit;37;greedy;3812;36;1101;6;1965;1000000;0.97
2;A3805.txt;recuit;38;greedy;3075;37;842;6;2042;1000000;0.97
2;A3905.txt;recuit;39;greedy;3618;38;967;5;1959;1000000;0.97
2;A3906.txt;recuit;39;greedy;3489;38;1059;6;1948;1000000;0.97
2;A4406.txt;recuit;44;greedy;4168;43;1083;7;2184;1000000;0.97
2;A4506.txt;recuit;45;greedy;4284;44;1211;7;2266;1000000;0.97
2;A4507.txt;recuit;45;greedy;5114;44;1332;7;2405;1000000;0.97
2;A4607.txt;recuit;46;greedy;4039;45;1064;7;3170;1000000;0.97
2;A5307.txt;recuit;53;greedy;5026;52;1339;7;2670;1000000;0.97
2;A5407.txt;recuit;54;greedy;5774;53;1355;8;2945;1000000;0.97
2;A5509.txt;recuit;55;greedy;4377;54;1434;9;3480;1000000;0.97
2;A6009.txt;recuit;60;greedy;6329;59;1687;9;3385;1000000;0.97
2;A6109.txt;recuit;61;greedy;4470;60;1179;11;4434;1000000;0.97
2;A6208.txt;recuit;62;greedy;7106;61;1577;8;5208;1000000;0.97
2;A6310.txt;recuit;63;greedy;5761;62;1573;10;3409;1000000;0.97
2;A6409.txt;recuit;64;greedy;7632;63;1672;9;4492;1000000;0.97
2;A6509.txt;recuit;65;greedy;5722;64;1489;9;3797;1000000;0.97
2;A6909.txt;recuit;69;greedy;5513;68;1456;9;4427;1000000;0.97
2;A8010.txt;recuit;80;greedy;11153;79;2014;10;4915;1000000;0.97
3;A3205.txt;recuit;32;greedy;3740;31;911;5;2326;1000000;0.97
3;A3305.txt;recuit;33;greedy;2618;32;798;5;2612;1000000;0.97
3;A3306.txt;recuit;33;greedy;2544;32;984;6;2639;1000000;0.97
3;A3405.txt;recuit;34;greedy;3155;33;839;5;2722;1000000;0.97
3;A3605.txt;recuit;36;greedy;3896;35;928;6;2552;1000000;0.97
3;A3705.txt;recuit;37;greedy;2755;36;723;5;3014;1000000;0.97
3;A3706.txt;recuit;37;greedy;3812;36;1074;7;2525;1000000;0.97
3;A3805.txt;recuit;38;greedy;3075;37;834;6;2277;1000000;0.97
3;A3905.txt;recuit;39;greedy;3618;38;906;5;2848;1000000;0.97
3;A3906.txt;recuit;39;greedy;3489;38;942;6;2668;1000000;0.97
3;A4406.txt;recuit;44;greedy;4168;43;1176;6;3139;1000000;0.97
3;A4506.txt;recuit;45;greedy;4284;44;1111;7;2853;1000000;0.97
3;A4507.txt;recuit;45;greedy;5114;44;1288;7;3550;1000000;0.97
3;A4607.txt;recuit;46;greedy;4039;45;1130;7;3138;1000000;0.97
3;A5307.txt;recuit;53;greedy;5026;52;1208;7;2801;1000000;0.97
3;A5407.txt;recuit;54;greedy;5774;53;1327;8;2868;1000000;0.97
3;A5509.txt;recuit;55;greedy;4377;54;1497;9;2997;1000000;0.97
3;A6009.txt;recuit;60;greedy;6329;59;1644;9;3168;1000000;0.97
3;A6109.txt;recuit;61;greedy;4470;60;1336;10;3187;1000000;0.97
3;A6208.txt;recuit;62;greedy;7106;61;1630;8;3122;1000000;0.97
3;A6310.txt;recuit;63;greedy;5761;62;1730;11;3405;1000000;0.97
3;A6409.txt;recuit;64;greedy;7632;63;1591;9;3269;1000000;0.97
3;A6509.txt;recuit;65;greedy;5722;64;1449;10;3338;1000000;0.97
3;A6909.txt;recuit;69;greedy;5513;68;1308;10;3531;1000000;0.97
3;A8010.txt;recuit;80;greedy;11153;79;2057;10;3774;1000000;0.97
4;A3205.txt;recuit;32;greedy;3740;31;987;5;1963;1000000;0.97
4;A3305.txt;recuit;33;greedy;2618;32;949;5;1923;1000000;0.97
4;A3306.txt;recuit;33;greedy;2544;32;947;6;2075;1000000;0.97
4;A3405.txt;recuit;34;greedy;3155;33;885;5;1923;1000000;0.97
4;A3605.txt;recuit;36;greedy;3896;35;853;5;1999;1000000;0.97
4;A3705.txt;recuit;37;greedy;2755;36;705;5;2085;1000000;0.97
4;A3706.txt;recuit;37;greedy;3812;36;1032;7;2266;1000000;0.97
4;A3805.txt;recuit;38;greedy;3075;37;850;6;2232;1000000;0.97
4;A3905.txt;recuit;39;greedy;3618;38;958;5;2115;1000000;0.97
4;A3906.txt;recuit;39;greedy;3489;38;987;6;2184;1000000;0.97
4;A4406.txt;recuit;44;greedy;4168;43;1215;6;2327;1000000;0.97
4;A4506.txt;recuit;45;greedy;4284;44;1287;7;2453;1000000;0.97
4;A4507.txt;recuit;45;greedy;5114;44;1311;7;2440;1000000;0.97
4;A4607.txt;recuit;46;greedy;4039;45;1106;7;2447;1000000;0.97
4;A5307.txt;recuit;53;greedy;5026;52;1224;8;2673;1000000;0.97
4;A5407.txt;recuit;54;greedy;5774;53;1450;7;2696;1000000;0.97
4;A5509.txt;recuit;55;greedy;4377;54;1308;10;2887;1000000;0.97
4;A6009.txt;recuit;60;greedy;6329;59;1667;9;2883;1000000;0.97
4;A6109.txt;recuit;61;greedy;4470;60;1172;10;3078;1000000;0.97
4;A6208.txt;recuit;62;greedy;7106;61;1524;8;2981;1000000;0.97
4;A6310.txt;recuit;63;greedy;5761;62;1512;10;3163;1000000;0.97
4;A6409.txt;recuit;64;greedy;7632;63;1755;10;3162;1000000;0.97
4;A6509.txt;recuit;65;greedy;5722;64;1346;10;3265;1000000;0.97
4;A6909.txt;recuit;69;greedy;5513;68;1274;10;3351;1000000;0.97
4;A8010.txt;recuit;80;greedy;11153;79;2149;10;3593;1000000;0.97
5;A3205.txt;recuit;32;greedy;3740;31;875;5;1929;1000000;0.97
5;A3305.txt;recuit;33;greedy;2618;32;846;5;1944;1000000;0.97
5;A3306.txt;recuit;33;greedy;2544;32;794;6;2074;1000000;0.97
5;A3405.txt;recuit;34;greedy;3155;33;888;5;1942;1000000;0.97
5;A3605.txt;recuit;36;greedy;3896;35;1050;5;1927;1000000;0.97
5;A3705.txt;recuit;37;greedy;2755;36;758;5;1996;1000000;0.97
5;A3706.txt;recuit;37;greedy;3812;36;1166;6;2128;1000000;0.97
5;A3805.txt;recuit;38;greedy;3075;37;804;6;2226;1000000;0.97
5;A3905.txt;recuit;39;greedy;3618;38;940;5;2189;1000000;0.97
5;A3906.txt;recuit;39;greedy;3489;38;1009;6;2250;1000000;0.97
5;A4406.txt;recuit;44;greedy;4168;43;1161;6;2400;1000000;0.97
5;A4506.txt;recuit;45;greedy;4284;44;1069;7;2502;1000000;0.97
