i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;recuit;32;greedy;3740;31;1954;9;12;100;0.8
0;A3305.txt;recuit;33;greedy;2618;32;1652;10;4;100;0.8
0;A3306.txt;recuit;33;greedy;2544;32;1434;12;4;100;0.8
0;A3405.txt;recuit;34;greedy;3155;33;1908;11;17;100;0.8
0;A3605.txt;recuit;36;greedy;3896;35;1947;11;3;100;0.8
0;A3705.txt;recuit;37;greedy;2755;36;1902;13;2;100;0.8
0;A3706.txt;recuit;37;greedy;3812;36;2279;15;2;100;0.8
0;A3805.txt;recuit;38;greedy;3075;37;2126;15;3;100;0.8
0;A3905.txt;recuit;39;greedy;3618;38;2207;16;1;100;0.8
0;A3906.txt;recuit;39;greedy;3489;38;2471;17;3;100;0.8
0;A4406.txt;recuit;44;greedy;4168;43;2851;19;1;100;0.8
0;A4506.txt;recuit;45;greedy;4284;44;3077;19;2;100;0.8
0;A4507.txt;recuit;45;greedy;5114;44;2700;18;1;100;0.8
0;A4607.txt;recuit;46;greedy;4039;45;3015;20;1;100;0.8
0;A5307.txt;recuit;53;greedy;5026;52;3501;23;2;100;0.8
0;A5407.txt;recuit;54;greedy;5774;53;4026;22;2;100;0.8
0;A5509.txt;recuit;55;greedy;4377;54;3424;29;2;100;0.8
0;A6009.txt;recuit;60;greedy;6329;59;4571;33;4;100;0.8
0;A6109.txt;recuit;61;greedy;4470;60;3174;26;2;100;0.8
0;A6208.txt;recuit;62;greedy;7106;61;5018;30;2;100;0.8
0;A6310.txt;recuit;63;greedy;5761;62;4420;31;3;100;0.8
0;A6409.txt;recuit;64;greedy;7632;63;5039;31;3;100;0.8
0;A6509.txt;recuit;65;greedy;5722;64;4457;32;5;100;0.8
0;A6909.txt;recuit;69;greedy;5513;68;4272;34;3;100;0.8
0;A8010.txt;recuit;80;greedy;11153;79;7644;45;2;100;0.8
1;A3205.txt;recuit;32;greedy;3740;31;1865;9;2;100;0.8
1;A3305.txt;recuit;33;greedy;2618;32;1929;11;2;100;0.8
1;A3306.txt;recuit;33;greedy;2544;32;1633;10;4;100;0.8
1;A3405.txt;recuit;34;greedy;3155;33;1606;9;2;100;0.8
1;A3605.txt;recuit;36;greedy;3896;35;2208;12;2;100;0.8
1;A3705.txt;recuit;37;greedy;2755;36;2012;15;2;100;0.8
1;A3706.txt;recuit;37;greedy;3812;36;2260;14;1;100;0.8
1;A3805.txt;recuit;38;greedy;3075;37;1887;14;1;100;0.8
1;A3905.txt;recuit;39;greedy;3618;38;2325;17;2;100;0.8
1;A3906.txt;recuit;39;greedy;3489;38;2001;13;3;100;0.8
