i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
3;A3805.txt;recuit;38;filltruck;2251;6;1564;6;1;100;0.7
3;A3905.txt;recuit;39;filltruck;2377;6;1657;6;1;100;0.7
3;A3906.txt;recuit;39;filltruck;2385;6;1615;6;1;100;0.7
3;A4406.txt;recuit;44;filltruck;2603;7;1792;7;1;100;0.7
3;A4506.txt;recuit;45;filltruck;2815;7;2263;7;3;100;0.7
3;A4507.txt;recuit;45;filltruck;2775;7;1935;8;1;100;0.7
3;A4607.txt;recuit;46;filltruck;2693;7;1951;7;0;100;0.7
3;A5307.txt;recuit;53;filltruck;3300;8;2553;8;1;100;0.7
3;A5407.txt;recuit;54;filltruck;3491;8;2321;8;5;100;0.7
3;A5509.txt;recuit;55;filltruck;2950;9;2472;10;2;100;0.7
3;A6009.txt;recuit;60;filltruck;3770;10;3133;10;1;100;0.7
3;A6109.txt;recuit;61;filltruck;3236;11;2566;11;0;100;0.7
3;A6208.txt;recuit;62;filltruck;3474;8;2976;8;1;100;0.7
3;A6310.txt;recuit;63;filltruck;3706;11;2972;11;0;100;0.7
3;A6409.txt;recuit;64;filltruck;3734;10;3008;10;0;100;0.7
3;A6509.txt;recuit;65;filltruck;3673;10;3091;10;1;100;0.7
3;A6909.txt;recuit;69;filltruck;4196;10;3180;10;1;100;0.7
3;A8010.txt;recuit;80;filltruck;5166;11;4302;11;0;100;0.7
4;A3205.txt;recuit;32;filltruck;2080;5;1607;5;0;100;0.7
4;A3305.txt;recuit;33;filltruck;1886;5;1261;5;1;100;0.7
4;A3306.txt;recuit;33;filltruck;1593;7;1250;7;1;100;0.7
4;A3405.txt;recuit;34;filltruck;2073;6;1423;6;1;100;0.7
4;A3605.txt;recuit;36;filltruck;1991;5;1301;5;0;100;0.7
4;A3705.txt;recuit;37;filltruck;1593;5;1155;5;1;100;0.7
4;A3706.txt;recuit;37;filltruck;2050;7;1601;7;0;100;0.7
4;A3805.txt;recuit;38;filltruck;2251;6;1718;6;0;100;0.7
4;A3905.txt;recuit;39;filltruck;2377;6;1733;7;0;100;0.7
