i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;tabou;32;filltruck;2080;5;885;5;6085;10000;10
0;A3305.txt;tabou;33;filltruck;1886;5;745;5;6561;10000;10
0;A3306.txt;tabou;33;filltruck;1593;7;788;6;9595;10000;10
0;A3405.txt;tabou;34;filltruck;2073;6;889;6;9585;10000;10
0;A3605.txt;tabou;36;filltruck;1991;5;892;5;9725;10000;10
0;A3705.txt;tabou;37;filltruck;1593;5;774;5;16832;10000;10
0;A3706.txt;tabou;37;filltruck;2050;7;1111;7;10494;10000;10
0;A3805.txt;tabou;38;filltruck;2251;6;745;6;16568;10000;10
0;A3905.txt;tabou;39;filltruck;2377;6;877;5;10634;10000;10
0;A3906.txt;tabou;39;filltruck;2385;6;1004;6;14558;10000;10
0;A4406.txt;tabou;44;filltruck;2603;7;1295;6;12109;10000;10
0;A4506.txt;tabou;45;filltruck;2815;7;1192;7;16515;10000;10
0;A4507.txt;tabou;45;filltruck;2775;7;1313;7;15238;10000;10
0;A4607.txt;tabou;46;filltruck;2693;7;1113;7;21477;10000;10
0;A5307.txt;tabou;53;filltruck;3300;8;1132;8;32423;10000;10
0;A5407.txt;tabou;54;filltruck;3491;8;1272;7;21447;10000;10
0;A5509.txt;tabou;55;filltruck;2950;9;1163;9;20749;10000;10
0;A6009.txt;tabou;60;filltruck;3770;10;1613;9;35605;10000;10
0;A6109.txt;tabou;61;filltruck;3236;11;1241;10;34338;10000;10
0;A6208.txt;tabou;62;filltruck;3474;8;1582;8;27588;10000;10
0;A6310.txt;tabou;63;filltruck;3706;11;1482;10;32568;10000;10
0;A6409.txt;tabou;64;filltruck;3734;10;1577;9;35953;10000;10
0;A6509.txt;tabou;65;filltruck;3673;10;1433;10;30946;10000;10
0;A6909.txt;tabou;69;filltruck;4196;10;1391;9;41887;10000;10
0;A8010.txt;tabou;80;filltruck;5166;11;2025;10;54185;10000;10
1;A3205.txt;tabou;32;filltruck;2080;5;865;5;12984;10000;35
1;A3305.txt;tabou;33;filltruck;1886;5;777;5;12232;10000;35
1;A3306.txt;tabou;33;filltruck;1593;7;788;6;10647;10000;35
1;A3405.txt;tabou;34;filltruck;2073;6;844;5;11129;10000;35
1;A3605.txt;tabou;36;filltruck;1991;5;903;5;13764;10000;35
1;A3705.txt;tabou;37;filltruck;1593;5;730;5;17113;10000;35
1;A3706.txt;tabou;37;filltruck;2050;7;1087;7;10685;10000;35
1;A3805.txt;tabou;38;filltruck;2251;6;817;6;17995;10000;35
1;A3905.txt;tabou;39;filltruck;2377;6;924;5;12844;10000;35
1;A3906.txt;tabou;39;filltruck;2385;6;986;6;16936;10000;35
1;A4406.txt;tabou;44;filltruck;2603;7;1058;6;16681;10000;35
1;A4506.txt;tabou;45;filltruck;2815;7;1192;7;16696;10000;35
1;A4507.txt;tabou;45;filltruck;2775;7;1329;7;18698;10000;35
1;A4607.txt;tabou;46;filltruck;2693;7;1060;7;10891;10000;35
1;A5307.txt;tabou;53;filltruck;3300;8;1103;8;32207;10000;35
1;A5407.txt;tabou;54;filltruck;3491;8;1447;7;26543;10000;35
1;A5509.txt;tabou;55;filltruck;2950;9;1195;9;25346;10000;35
1;A6009.txt;tabou;60;filltruck;3770;10;1750;9;19047;10000;35
1;A6109.txt;tabou;61;filltruck;3236;11;1171;10;47488;10000;35
1;A6208.txt;tabou;62;filltruck;3474;8;1632;8;40032;10000;35
1;A6310.txt;tabou;63;filltruck;3706;11;1448;10;39006;10000;35
1;A6409.txt;tabou;64;filltruck;3734;10;1574;9;37831;10000;35
1;A6509.txt;tabou;65;filltruck;3673;10;1558;10;58107;10000;35
1;A6909.txt;tabou;69;filltruck;4196;10;1390;9;46201;10000;35
1;A8010.txt;tabou;80;filltruck;5166;11;1979;10;71222;10000;35
2;A3205.txt;tabou;32;filltruck;2080;5;918;5;5869;10000;60
2;A3305.txt;tabou;33;filltruck;1886;5;684;5;12407;10000;60
2;A3306.txt;tabou;33;filltruck;1593;7;788;6;10502;10000;60
2;A3405.txt;tabou;34;filltruck;2073;6;887;6;15826;10000;60
2;A3605.txt;tabou;36;filltruck;1991;5;802;5;16204;10000;60
2;A3705.txt;tabou;37;filltruck;1593;5;730;5;21248;10000;60
2;A3706.txt;tabou;37;filltruck;2050;7;1111;7;10743;10000;60
2;A3805.txt;tabou;38;filltruck;2251;6;799;5;13870;10000;60
2;A3905.txt;tabou;39;filltruck;2377;6;985;5;13612;10000;60
2;A3906.txt;tabou;39;filltruck;2385;6;946;6;16854;10000;60
2;A4406.txt;tabou;44;filltruck;2603;7;1168;6;18810;10000;60
2;A4506.txt;tabou;45;filltruck;2815;7;1147;7;16703;10000;60
2;A4507.txt;tabou;45;filltruck;2775;7;1338;7;18047;10000;60
2;A4607.txt;tabou;46;filltruck;2693;7;1084;7;33110;10000;60
2;A5307.txt;tabou;53;filltruck;3300;8;1242;7;25026;10000;60
2;A5407.txt;tabou;54;filltruck;3491;8;1369;7;30661;10000;60
2;A5509.txt;tabou;55;filltruck;2950;9;1209;9;25656;10000;60
2;A6009.txt;tabou;60;filltruck;3770;10;1694;9;50675;10000;60
2;A6109.txt;tabou;61;filltruck;3236;11;1235;10;33129;10000;60
2;A6208.txt;tabou;62;filltruck;3474;8;1538;8;36149;10000;60
2;A6310.txt;tabou;63;filltruck;3706;11;1493;10;46715;10000;60
2;A6409.txt;tabou;64;filltruck;3734;10;1605;9;32857;10000;60
2;A6509.txt;tabou;65;filltruck;3673;10;1557;10;52318;10000;60
2;A6909.txt;tabou;69;filltruck;4196;10;1346;9;53168;10000;60
2;A8010.txt;tabou;80;filltruck;5166;11;2013;10;118061;10000;60
