i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;recuit;32;greedy;3740;31;909;5;2022;1000000;0.99
0;A3305.txt;recuit;33;greedy;2618;32;827;5;1787;1000000;0.99
0;A3306.txt;recuit;33;greedy;2544;32;849;6;1746;1000000;0.99
0;A3405.txt;recuit;34;greedy;3155;33;985;6;1813;1000000;0.99
0;A3605.txt;recuit;36;greedy;3896;35;908;5;1740;1000000;0.99
0;A3705.txt;recuit;37;greedy;2755;36;952;5;1799;1000000;0.99
0;A3706.txt;recuit;37;greedy;3812;36;1251;6;1883;1000000;0.99
0;A3805.txt;recuit;38;greedy;3075;37;941;5;1919;1000000;0.99
0;A3905.txt;recuit;39;greedy;3618;38;1079;5;1810;1000000;0.99
0;A3906.txt;recuit;39;greedy;3489;38;1004;6;1976;1000000;0.99
0;A4406.txt;recuit;44;greedy;4168;43;1165;7;2301;1000000;0.99
0;A4506.txt;recuit;45;greedy;4284;44;1150;7;2219;1000000;0.99
0;A4507.txt;recuit;45;greedy;5114;44;1391;7;1902;1000000;0.99
0;A4607.txt;recuit;46;greedy;4039;45;1008;7;1873;1000000;0.99
0;A5307.txt;recuit;53;greedy;5026;52;1251;8;2052;1000000;0.99
0;A5407.txt;recuit;54;greedy;5774;53;1371;7;2015;1000000;0.99
0;A5509.txt;recuit;55;greedy;4377;54;1424;9;2173;1000000;0.99
0;A6009.txt;recuit;60;greedy;6329;59;1656;9;2214;1000000;0.99
0;A6109.txt;recuit;61;greedy;4470;60;1295;10;2249;1000000;0.99
0;A6208.txt;recuit;62;greedy;7106;61;1754;8;2186;1000000;0.99
0;A6310.txt;recuit;63;greedy;5761;62;1548;10;2311;1000000;0.99
0;A6409.txt;recuit;64;greedy;7632;63;1721;9;2284;1000000;0.99
0;A6509.txt;recuit;65;greedy;5722;64;1555;9;2300;1000000;0.99
0;A6909.txt;recuit;69;greedy;5513;68;1276;9;2400;1000000;0.99
0;A8010.txt;recuit;80;greedy;11153;79;2276;10;2635;1000000;0.99
1;A3205.txt;recuit;32;greedy;3740;31;894;5;1357;1000000;0.99
1;A3305.txt;recuit;33;greedy;2618;32;830;5;1425;1000000;0.99
1;A3306.txt;recuit;33;greedy;2544;32;863;6;1487;1000000;0.99
1;A3405.txt;recuit;34;greedy;3155;33;934;5;1417;1000000;0.99
1;A3605.txt;recuit;36;greedy;3896;35;902;5;1474;1000000;0.99
1;A3705.txt;recuit;37;greedy;2755;36;840;5;1461;1000000;0.99
1;A3706.txt;recuit;37;greedy;3812;36;1225;6;1564;1000000;0.99
