i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;filltruck;2080;5;855;5;1063;1000;100;0.5;10
0;A3305.txt;genetic;33;filltruck;1886;5;757;5;752;1000;100;0.5;10
0;A3306.txt;genetic;33;filltruck;1593;7;812;6;964;1000;100;0.5;10
0;A3405.txt;genetic;34;filltruck;2073;6;811;5;672;1000;100;0.5;10
0;A3605.txt;genetic;36;filltruck;1991;5;915;5;596;1000;100;0.5;10
0;A3705.txt;genetic;37;filltruck;1593;5;781;5;557;1000;100;0.5;10
0;A3706.txt;genetic;37;filltruck;2050;7;1079;6;586;1000;100;0.5;10
0;A3805.txt;genetic;38;filltruck;2251;6;886;5;567;1000;100;0.5;10
0;A3905.txt;genetic;39;filltruck;2377;6;977;5;586;1000;100;0.5;10
0;A3906.txt;genetic;39;filltruck;2385;6;953;6;584;1000;100;0.5;10
0;A4406.txt;genetic;44;filltruck;2603;7;1224;6;635;1000;100;0.5;10
0;A4506.txt;genetic;45;filltruck;2815;7;1139;7;645;1000;100;0.5;10
0;A4507.txt;genetic;45;filltruck;2775;7;1466;7;660;1000;100;0.5;10
0;A4607.txt;genetic;46;filltruck;2693;7;1099;7;655;1000;100;0.5;10
0;A5307.txt;genetic;53;filltruck;3300;8;1333;8;729;1000;100;0.5;10
0;A5407.txt;genetic;54;filltruck;3491;8;1671;7;740;1000;100;0.5;10
0;A5509.txt;genetic;55;filltruck;2950;9;1383;9;781;1000;100;0.5;10
0;A6009.txt;genetic;60;filltruck;3770;10;1805;9;815;1000;100;0.5;10
0;A6109.txt;genetic;61;filltruck;3236;11;1595;10;839;1000;100;0.5;10
0;A6208.txt;genetic;62;filltruck;3474;8;1715;8;809;1000;100;0.5;10
0;A6310.txt;genetic;63;filltruck;3706;11;1799;11;876;1000;100;0.5;10
0;A6409.txt;genetic;64;filltruck;3734;10;1963;9;845;1000;100;0.5;10
0;A6509.txt;genetic;65;filltruck;3673;10;1626;10;855;1000;100;0.5;10
0;A6909.txt;genetic;69;filltruck;4196;10;1649;10;885;1000;100;0.5;10
0;A8010.txt;genetic;80;filltruck;5166;11;2678;11;985;1000;100;0.5;10
1;A3205.txt;genetic;32;filltruck;2080;5;852;5;513;1000;100;0.5;10
1;A3305.txt;genetic;33;filltruck;1886;5;750;5;527;1000;100;0.5;10
1;A3306.txt;genetic;33;filltruck;1593;7;922;6;541;1000;100;0.5;10
1;A3405.txt;genetic;34;filltruck;2073;6;843;5;544;1000;100;0.5;10
1;A3605.txt;genetic;36;filltruck;1991;5;917;5;539;1000;100;0.5;10
1;A3705.txt;genetic;37;filltruck;1593;5;814;5;546;1000;100;0.5;10
1;A3706.txt;genetic;37;filltruck;2050;7;1096;6;583;1000;100;0.5;10
1;A3805.txt;genetic;38;filltruck;2251;6;1006;5;570;1000;100;0.5;10
1;A3905.txt;genetic;39;filltruck;2377;6;960;5;576;1000;100;0.5;10
1;A3906.txt;genetic;39;filltruck;2385;6;1079;7;593;1000;100;0.5;10
1;A4406.txt;genetic;44;filltruck;2603;7;1144;6;621;1000;100;0.5;10
1;A4506.txt;genetic;45;filltruck;2815;7;1160;7;635;1000;100;0.5;10
1;A4507.txt;genetic;45;filltruck;2775;7;1404;7;644;1000;100;0.5;10
1;A4607.txt;genetic;46;filltruck;2693;7;1140;7;650;1000;100;0.5;10
1;A5307.txt;genetic;53;filltruck;3300;8;1288;8;722;1000;100;0.5;10
1;A5407.txt;genetic;54;filltruck;3491;8;1573;7;721;1000;100;0.5;10
1;A5509.txt;genetic;55;filltruck;2950;9;1464;9;777;1000;100;0.5;10
1;A6009.txt;genetic;60;filltruck;3770;10;1690;9;811;1000;100;0.5;10
1;A6109.txt;genetic;61;filltruck;3236;11;1454;10;826;1000;100;0.5;10
1;A6208.txt;genetic;62;filltruck;3474;8;1878;9;810;1000;100;0.5;10
1;A6310.txt;genetic;63;filltruck;3706;11;1758;10;867;1000;100;0.5;10
1;A6409.txt;genetic;64;filltruck;3734;10;1915;9;855;1000;100;0.5;10
1;A6509.txt;genetic;65;filltruck;3673;10;1746;10;860;1000;100;0.5;10
1;A6909.txt;genetic;69;filltruck;4196;10;1766;10;879;1000;100;0.5;10
1;A8010.txt;genetic;80;filltruck;5166;11;2585;10;1002;1000;100;0.5;10
2;A3205.txt;genetic;32;filltruck;2080;5;1046;5;505;1000;100;0.5;10
2;A3305.txt;genetic;33;filltruck;1886;5;713;5;523;1000;100;0.5;10
2;A3306.txt;genetic;33;filltruck;1593;7;856;6;542;1000;100;0.5;10
2;A3405.txt;genetic;34;filltruck;2073;6;870;6;532;1000;100;0.5;10
2;A3605.txt;genetic;36;filltruck;1991;5;907;5;544;1000;100;0.5;10
2;A3705.txt;genetic;37;filltruck;1593;5;955;5;541;1000;100;0.5;10
2;A3706.txt;genetic;37;filltruck;2050;7;1062;6;588;1000;100;0.5;10
2;A3805.txt;genetic;38;filltruck;2251;6;889;5;561;1000;100;0.5;10
2;A3905.txt;genetic;39;filltruck;2377;6;1004;5;578;1000;100;0.5;10
2;A3906.txt;genetic;39;filltruck;2385;6;1012;6;586;1000;100;0.5;10
2;A4406.txt;genetic;44;filltruck;2603;7;1114;6;619;1000;100;0.5;10
2;A4506.txt;genetic;45;filltruck;2815;7;1174;7;633;1000;100;0.5;10
2;A4507.txt;genetic;45;filltruck;2775;7;1302;7;654;1000;100;0.5;10
2;A4607.txt;genetic;46;filltruck;2693;7;1182;7;654;1000;100;0.5;10
2;A5307.txt;genetic;53;filltruck;3300;8;1356;7;721;1000;100;0.5;10
2;A5407.txt;genetic;54;filltruck;3491;8;1499;7;714;1000;100;0.5;10
2;A5509.txt;genetic;55;filltruck;2950;9;1498;9;806;1000;100;0.5;10
2;A6009.txt;genetic;60;filltruck;3770;10;1829;10;820;1000;100;0.5;10
2;A6109.txt;genetic;61;filltruck;3236;11;1406;10;836;1000;100;0.5;10
2;A6208.txt;genetic;62;filltruck;3474;8;1835;8;811;1000;100;0.5;10
2;A6310.txt;genetic;63;filltruck;3706;11;1836;10;867;1000;100;0.5;10
2;A6409.txt;genetic;64;filltruck;3734;10;1898;9;851;1000;100;0.5;10
2;A6509.txt;genetic;65;filltruck;3673;10;1703;10;853;1000;100;0.5;10
2;A6909.txt;genetic;69;filltruck;4196;10;1788;9;877;1000;100;0.5;10
2;A8010.txt;genetic;80;filltruck;5166;11;2628;10;988;1000;100;0.5;10
3;A3205.txt;genetic;32;filltruck;2080;5;1003;5;507;1000;100;0.5;10
3;A3305.txt;genetic;33;filltruck;1886;5;844;5;522;1000;100;0.5;10
3;A3306.txt;genetic;33;filltruck;1593;7;904;7;552;1000;100;0.5;10
3;A3405.txt;genetic;34;filltruck;2073;6;870;5;534;1000;100;0.5;10
3;A3605.txt;genetic;36;filltruck;1991;5;963;5;546;1000;100;0.5;10
3;A3705.txt;genetic;37;filltruck;1593;5;779;5;553;1000;100;0.5;10
3;A3706.txt;genetic;37;filltruck;2050;7;1093;7;590;1000;100;0.5;10
3;A3805.txt;genetic;38;filltruck;2251;6;843;6;574;1000;100;0.5;10
3;A3905.txt;genetic;39;filltruck;2377;6;950;5;584;1000;100;0.5;10
3;A3906.txt;genetic;39;filltruck;2385;6;954;6;591;1000;100;0.5;10
3;A4406.txt;genetic;44;filltruck;2603;7;1256;6;627;1000;100;0.5;10
3;A4506.txt;genetic;45;filltruck;2815;7;1255;7;646;1000;100;0.5;10
3;A4507.txt;genetic;45;filltruck;2775;7;1400;7;647;1000;100;0.5;10
3;A4607.txt;genetic;46;filltruck;2693;7;1152;7;651;1000;100;0.5;10
3;A5307.txt;genetic;53;filltruck;3300;8;1358;7;717;1000;100;0.5;10
3;A5407.txt;genetic;54;filltruck;3491;8;1600;7;739;1000;100;0.5;10
3;A5509.txt;genetic;55;filltruck;2950;9;1386;9;771;1000;100;0.5;10
3;A6009.txt;genetic;60;filltruck;3770;10;1851;9;829;1000;100;0.5;10
3;A6109.txt;genetic;61;filltruck;3236;11;1626;10;838;1000;100;0.5;10
3;A6208.txt;genetic;62;filltruck;3474;8;1842;9;814;1000;100;0.5;10
3;A6310.txt;genetic;63;filltruck;3706;11;1755;10;862;1000;100;0.5;10
3;A6409.txt;genetic;64;filltruck;3734;10;1889;9;841;1000;100;0.5;10
3;A6509.txt;genetic;65;filltruck;3673;10;1747;10;860;1000;100;0.5;10
3;A6909.txt;genetic;69;filltruck;4196;10;1704;9;884;1000;100;0.5;10
3;A8010.txt;genetic;80;filltruck;5166;11;2508;10;985;1000;100;0.5;10
4;A3205.txt;genetic;32;filltruck;2080;5;897;5;509;1000;100;0.5;10
4;A3305.txt;genetic;33;filltruck;1886;5;743;5;523;1000;100;0.5;10
4;A3306.txt;genetic;33;filltruck;1593;7;818;6;544;1000;100;0.5;10
4;A3405.txt;genetic;34;filltruck;2073;6;903;5;537;1000;100;0.5;10
4;A3605.txt;genetic;36;filltruck;1991;5;1016;5;544;1000;100;0.5;10
4;A3705.txt;genetic;37;filltruck;1593;5;807;5;545;1000;100;0.5;10
4;A3706.txt;genetic;37;filltruck;2050;7;1085;7;586;1000;100;0.5;10
4;A3805.txt;genetic;38;filltruck;2251;6;966;5;573;1000;100;0.5;10
4;A3905.txt;genetic;39;filltruck;2377;6;917;5;583;1000;100;0.5;10
4;A3906.txt;genetic;39;filltruck;2385;6;1101;7;596;1000;100;0.5;10
4;A4406.txt;genetic;44;filltruck;2603;7;1112;7;642;1000;100;0.5;10
4;A4506.txt;genetic;45;filltruck;2815;7;1267;7;645;1000;100;0.5;10
4;A4507.txt;genetic;45;filltruck;2775;7;1340;7;649;1000;100;0.5;10
4;A4607.txt;genetic;46;filltruck;2693;7;1171;7;653;1000;100;0.5;10
4;A5307.txt;genetic;53;filltruck;3300;8;1436;8;726;1000;100;0.5;10
4;A5407.txt;genetic;54;filltruck;3491;8;1516;8;738;1000;100;0.5;10
4;A5509.txt;genetic;55;filltruck;2950;9;1404;10;784;1000;100;0.5;10
4;A6009.txt;genetic;60;filltruck;3770;10;1824;10;813;1000;100;0.5;10
4;A6109.txt;genetic;61;filltruck;3236;11;1510;10;844;1000;100;0.5;10
4;A6208.txt;genetic;62;filltruck;3474;8;1798;8;814;1000;100;0.5;10
4;A6310.txt;genetic;63;filltruck;3706;11;1774;11;857;1000;100;0.5;10
4;A6409.txt;genetic;64;filltruck;3734;10;1795;9;851;1000;100;0.5;10
4;A6509.txt;genetic;65;filltruck;3673;10;1539;10;864;1000;100;0.5;10
4;A6909.txt;genetic;69;filltruck;4196;10;1689;10;890;1000;100;0.5;10
4;A8010.txt;genetic;80;filltruck;5166;11;2538;10;986;1000;100;0.5;10
5;A3205.txt;genetic;32;filltruck;2080;5;834;5;510;1000;100;0.5;10
5;A3305.txt;genetic;33;filltruck;1886;5;713;5;522;1000;100;0.5;10
5;A3306.txt;genetic;33;filltruck;1593;7;864;6;543;1000;100;0.5;10
5;A3405.txt;genetic;34;filltruck;2073;6;880;5;534;1000;100;0.5;10
5;A3605.txt;genetic;36;filltruck;1991;5;925;5;549;1000;100;0.5;10
5;A3705.txt;genetic;37;filltruck;1593;5;817;5;557;1000;100;0.5;10
5;A3706.txt;genetic;37;filltruck;2050;7;1186;6;582;1000;100;0.5;10
5;A3805.txt;genetic;38;filltruck;2251;6;896;6;599;1000;100;0.5;10
5;A3905.txt;genetic;39;filltruck;2377;6;1012;5;605;1000;100;0.5;10
5;A3906.txt;genetic;39;filltruck;2385;6;1055;6;594;1000;100;0.5;10
5;A4406.txt;genetic;44;filltruck;2603;7;1240;6;653;1000;100;0.5;10
5;A4506.txt;genetic;45;filltruck;2815;7;1304;7;804;1000;100;0.5;10
5;A4507.txt;genetic;45;filltruck;2775;7;1431;7;717;1000;100;0.5;10
5;A4607.txt;genetic;46;filltruck;2693;7;1179;7;723;1000;100;0.5;10
5;A5307.txt;genetic;53;filltruck;3300;8;1408;7;766;1000;100;0.5;10
5;A5407.txt;genetic;54;filltruck;3491;8;1526;7;780;1000;100;0.5;10
5;A5509.txt;genetic;55;filltruck;2950;9;1380;9;823;1000;100;0.5;10
5;A6009.txt;genetic;60;filltruck;3770;10;1862;9;881;1000;100;0.5;10
5;A6109.txt;genetic;61;filltruck;3236;11;1426;10;885;1000;100;0.5;10
5;A6208.txt;genetic;62;filltruck;3474;8;1814;8;892;1000;100;0.5;10
5;A6310.txt;genetic;63;filltruck;3706;11;1763;11;906;1000;100;0.5;10
5;A6409.txt;genetic;64;filltruck;3734;10;1856;9;900;1000;100;0.5;10
5;A6509.txt;genetic;65;filltruck;3673;10;1885;10;907;1000;100;0.5;10
5;A6909.txt;genetic;69;filltruck;4196;10;1796;10;931;1000;100;0.5;10
5;A8010.txt;genetic;80;filltruck;5166;11;2610;10;1065;1000;100;0.5;10
6;A3205.txt;genetic;32;filltruck;2080;5;867;5;548;1000;100;0.5;10
