i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;filltruck;2080;5;1013;5;777;1000;100;0.5;30
0;A3305.txt;genetic;33;filltruck;1886;5;771;5;554;1000;100;0.5;30
0;A3306.txt;genetic;33;filltruck;1593;7;830;6;518;1000;100;0.5;30
0;A3405.txt;genetic;34;filltruck;2073;6;822;5;405;1000;100;0.5;30
0;A3605.txt;genetic;36;filltruck;1991;5;902;5;523;1000;100;0.5;30
0;A3705.txt;genetic;37;filltruck;1593;5;791;5;429;1000;100;0.5;30
0;A3706.txt;genetic;37;filltruck;2050;7;1139;6;433;1000;100;0.5;30
0;A3805.txt;genetic;38;filltruck;2251;6;864;5;429;1000;100;0.5;30
0;A3905.txt;genetic;39;filltruck;2377;6;1027;5;441;1000;100;0.5;30
0;A3906.txt;genetic;39;filltruck;2385;6;968;6;446;1000;100;0.5;30
0;A4406.txt;genetic;44;filltruck;2603;7;1113;7;466;1000;100;0.5;30
0;A4506.txt;genetic;45;filltruck;2815;7;1193;7;493;1000;100;0.5;30
0;A4507.txt;genetic;45;filltruck;2775;7;1402;7;487;1000;100;0.5;30
0;A4607.txt;genetic;46;filltruck;2693;7;1179;7;472;1000;100;0.5;30
0;A5307.txt;genetic;53;filltruck;3300;8;1288;8;532;1000;100;0.5;30
0;A5407.txt;genetic;54;filltruck;3491;8;1551;8;549;1000;100;0.5;30
0;A5509.txt;genetic;55;filltruck;2950;9;1419;9;568;1000;100;0.5;30
0;A6009.txt;genetic;60;filltruck;3770;10;1740;9;623;1000;100;0.5;30
0;A6109.txt;genetic;61;filltruck;3236;11;1520;11;640;1000;100;0.5;30
0;A6208.txt;genetic;62;filltruck;3474;8;1821;8;602;1000;100;0.5;30
0;A6310.txt;genetic;63;filltruck;3706;11;1825;10;630;1000;100;0.5;30
0;A6409.txt;genetic;64;filltruck;3734;10;1938;9;619;1000;100;0.5;30
0;A6509.txt;genetic;65;filltruck;3673;10;1640;10;633;1000;100;0.5;30
0;A6909.txt;genetic;69;filltruck;4196;10;1791;10;654;1000;100;0.5;30
0;A8010.txt;genetic;80;filltruck;5166;11;2632;10;731;1000;100;0.5;30
1;A3205.txt;genetic;32;filltruck;2080;5;858;5;377;1000;100;0.5;30
1;A3305.txt;genetic;33;filltruck;1886;5;784;5;384;1000;100;0.5;30
1;A3306.txt;genetic;33;filltruck;1593;7;795;6;403;1000;100;0.5;30
1;A3405.txt;genetic;34;filltruck;2073;6;893;5;409;1000;100;0.5;30
1;A3605.txt;genetic;36;filltruck;1991;5;952;5;404;1000;100;0.5;30
1;A3705.txt;genetic;37;filltruck;1593;5;734;5;416;1000;100;0.5;30
1;A3706.txt;genetic;37;filltruck;2050;7;1207;7;428;1000;100;0.5;30
1;A3805.txt;genetic;38;filltruck;2251;6;965;6;424;1000;100;0.5;30
1;A3905.txt;genetic;39;filltruck;2377;6;1005;5;432;1000;100;0.5;30
1;A3906.txt;genetic;39;filltruck;2385;6;1075;7;440;1000;100;0.5;30
1;A4406.txt;genetic;44;filltruck;2603;7;1151;6;473;1000;100;0.5;30
1;A4506.txt;genetic;45;filltruck;2815;7;1281;7;473;1000;100;0.5;30
1;A4507.txt;genetic;45;filltruck;2775;7;1421;7;482;1000;100;0.5;30
1;A4607.txt;genetic;46;filltruck;2693;7;1123;7;490;1000;100;0.5;30
