i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;greedy;3740;31;859;5;930;1000;100;0.5;10
0;A3305.txt;genetic;33;greedy;2618;32;806;5;588;1000;100;0.5;10
0;A3306.txt;genetic;33;greedy;2544;32;841;6;597;1000;100;0.5;10
0;A3405.txt;genetic;34;greedy;3155;33;902;5;583;1000;100;0.5;10
0;A3605.txt;genetic;36;greedy;3896;35;1015;5;571;1000;100;0.5;10
0;A3705.txt;genetic;37;greedy;2755;36;835;5;519;1000;100;0.5;10
0;A3706.txt;genetic;37;greedy;3812;36;1160;6;563;1000;100;0.5;10
0;A3805.txt;genetic;38;greedy;3075;37;887;6;558;1000;100;0.5;10
0;A3905.txt;genetic;39;greedy;3618;38;1061;5;556;1000;100;0.5;10
0;A3906.txt;genetic;39;greedy;3489;38;1063;6;566;1000;100;0.5;10
0;A4406.txt;genetic;44;greedy;4168;43;1193;7;594;1000;100;0.5;10
0;A4506.txt;genetic;45;greedy;4284;44;1211;7;626;1000;100;0.5;10
0;A4507.txt;genetic;45;greedy;5114;44;1424;7;640;1000;100;0.5;10
0;A4607.txt;genetic;46;greedy;4039;45;1228;7;632;1000;100;0.5;10
0;A5307.txt;genetic;53;greedy;5026;52;1381;8;696;1000;100;0.5;10
0;A5407.txt;genetic;54;greedy;5774;53;1589;8;711;1000;100;0.5;10
0;A5509.txt;genetic;55;greedy;4377;54;1377;9;739;1000;100;0.5;10
0;A6009.txt;genetic;60;greedy;6329;59;1815;9;780;1000;100;0.5;10
0;A6109.txt;genetic;61;greedy;4470;60;1425;11;813;1000;100;0.5;10
0;A6208.txt;genetic;62;greedy;7106;61;1811;8;791;1000;100;0.5;10
0;A6310.txt;genetic;63;greedy;5761;62;1776;11;851;1000;100;0.5;10
0;A6409.txt;genetic;64;greedy;7632;63;1951;10;841;1000;100;0.5;10
0;A6509.txt;genetic;65;greedy;5722;64;1777;10;836;1000;100;0.5;10
0;A6909.txt;genetic;69;greedy;5513;68;1759;11;885;1000;100;0.5;10
0;A8010.txt;genetic;80;greedy;11153;79;2628;11;996;1000;100;0.5;10
1;A3205.txt;genetic;32;greedy;3740;31;1058;5;488;1000;100;0.5;10
1;A3305.txt;genetic;33;greedy;2618;32;751;5;513;1000;100;0.5;10
1;A3306.txt;genetic;33;greedy;2544;32;814;6;526;1000;100;0.5;10
1;A3405.txt;genetic;34;greedy;3155;33;863;5;523;1000;100;0.5;10
1;A3605.txt;genetic;36;greedy;3896;35;988;5;534;1000;100;0.5;10
1;A3705.txt;genetic;37;greedy;2755;36;788;5;537;1000;100;0.5;10
1;A3706.txt;genetic;37;greedy;3812;36;1047;7;558;1000;100;0.5;10
1;A3805.txt;genetic;38;greedy;3075;37;851;6;564;1000;100;0.5;10
1;A3905.txt;genetic;39;greedy;3618;38;911;5;566;1000;100;0.5;10
1;A3906.txt;genetic;39;greedy;3489;38;1010;6;567;1000;100;0.5;10
1;A4406.txt;genetic;44;greedy;4168;43;1124;7;633;1000;100;0.5;10
1;A4506.txt;genetic;45;greedy;4284;44;1182;7;644;1000;100;0.5;10
1;A4507.txt;genetic;45;greedy;5114;44;1349;7;644;1000;100;0.5;10
1;A4607.txt;genetic;46;greedy;4039;45;1111;7;641;1000;100;0.5;10
1;A5307.txt;genetic;53;greedy;5026;52;1382;8;703;1000;100;0.5;10
1;A5407.txt;genetic;54;greedy;5774;53;1469;7;735;1000;100;0.5;10
1;A5509.txt;genetic;55;greedy;4377;54;1525;9;774;1000;100;0.5;10
1;A6009.txt;genetic;60;greedy;6329;59;1808;9;795;1000;100;0.5;10
1;A6109.txt;genetic;61;greedy;4470;60;1476;11;842;1000;100;0.5;10
1;A6208.txt;genetic;62;greedy;7106;61;1877;9;801;1000;100;0.5;10
1;A6310.txt;genetic;63;greedy;5761;62;1785;10;850;1000;100;0.5;10
1;A6409.txt;genetic;64;greedy;7632;63;1810;9;846;1000;100;0.5;10
1;A6509.txt;genetic;65;greedy;5722;64;1647;10;846;1000;100;0.5;10
1;A6909.txt;genetic;69;greedy;5513;68;1720;10;874;1000;100;0.5;10
1;A8010.txt;genetic;80;greedy;11153;79;2700;11;996;1000;100;0.5;10
2;A3205.txt;genetic;32;greedy;3740;31;996;5;497;1000;100;0.5;10
2;A3305.txt;genetic;33;greedy;2618;32;737;5;507;1000;100;0.5;10
2;A3306.txt;genetic;33;greedy;2544;32;854;6;539;1000;100;0.5;10
2;A3405.txt;genetic;34;greedy;3155;33;846;5;528;1000;100;0.5;10
2;A3605.txt;genetic;36;greedy;3896;35;952;5;532;1000;100;0.5;10
2;A3705.txt;genetic;37;greedy;2755;36;908;5;538;1000;100;0.5;10
2;A3706.txt;genetic;37;greedy;3812;36;1113;7;570;1000;100;0.5;10
2;A3805.txt;genetic;38;greedy;3075;37;967;5;559;1000;100;0.5;10
2;A3905.txt;genetic;39;greedy;3618;38;937;6;564;1000;100;0.5;10
2;A3906.txt;genetic;39;greedy;3489;38;1095;6;575;1000;100;0.5;10
2;A4406.txt;genetic;44;greedy;4168;43;1213;7;612;1000;100;0.5;10
2;A4506.txt;genetic;45;greedy;4284;44;1113;7;640;1000;100;0.5;10
