i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3306.txt;genetic;33;filltruck;1593;7;878;6;552;1000;100;0.7;50
1;A3306.txt;genetic;33;filltruck;1593;7;828;6;426;1000;100;0.7;50
2;A3306.txt;genetic;33;filltruck;1593;7;905;6;411;1000;100;0.7;50
3;A3306.txt;genetic;33;filltruck;1593;7;811;6;326;1000;100;0.7;50
4;A3306.txt;genetic;33;filltruck;1593;7;929;6;319;1000;100;0.7;50
5;A3306.txt;genetic;33;filltruck;1593;7;841;6;349;1000;100;0.7;50
6;A3306.txt;genetic;33;filltruck;1593;7;838;6;322;1000;100;0.7;50
7;A3306.txt;genetic;33;filltruck;1593;7;768;6;321;1000;100;0.7;50
8;A3306.txt;genetic;33;filltruck;1593;7;799;6;322;1000;100;0.7;50
9;A3306.txt;genetic;33;filltruck;1593;7;837;6;327;1000;100;0.7;50
10;A3306.txt;genetic;33;filltruck;1593;7;761;6;352;1000;100;0.7;50
11;A3306.txt;genetic;33;filltruck;1593;7;835;6;322;1000;100;0.7;50
12;A3306.txt;genetic;33;filltruck;1593;7;807;6;317;1000;100;0.7;50
13;A3306.txt;genetic;33;filltruck;1593;7;865;6;314;1000;100;0.7;50
14;A3306.txt;genetic;33;filltruck;1593;7;870;6;312;1000;100;0.7;50
15;A3306.txt;genetic;33;filltruck;1593;7;808;6;315;1000;100;0.7;50
16;A3306.txt;genetic;33;filltruck;1593;7;834;6;316;1000;100;0.7;50
17;A3306.txt;genetic;33;filltruck;1593;7;811;6;316;1000;100;0.7;50
18;A3306.txt;genetic;33;filltruck;1593;7;821;6;316;1000;100;0.7;50
19;A3306.txt;genetic;33;filltruck;1593;7;864;7;319;1000;100;0.7;50
20;A3306.txt;genetic;33;filltruck;1593;7;824;6;316;1000;100;0.7;50
21;A3306.txt;genetic;33;filltruck;1593;7;807;6;315;1000;100;0.7;50
22;A3306.txt;genetic;33;filltruck;1593;7;809;6;314;1000;100;0.7;50
23;A3306.txt;genetic;33;filltruck;1593;7;815;6;313;1000;100;0.7;50
24;A3306.txt;genetic;33;filltruck;1593;7;888;6;319;1000;100;0.7;50
25;A3306.txt;genetic;33;filltruck;1593;7;823;6;327;1000;100;0.7;50
26;A3306.txt;genetic;33;filltruck;1593;7;848;6;419;1000;100;0.7;50
27;A3306.txt;genetic;33;filltruck;1593;7;839;6;382;1000;100;0.7;50
28;A3306.txt;genetic;33;filltruck;1593;7;903;6;327;1000;100;0.7;50
29;A3306.txt;genetic;33;filltruck;1593;7;780;6;337;1000;100;0.7;50
30;A3306.txt;genetic;33;filltruck;1593;7;888;6;331;1000;100;0.7;50
31;A3306.txt;genetic;33;filltruck;1593;7;801;6;318;1000;100;0.7;50
32;A3306.txt;genetic;33;filltruck;1593;7;802;6;318;1000;100;0.7;50
33;A3306.txt;genetic;33;filltruck;1593;7;805;6;318;1000;100;0.7;50
34;A3306.txt;genetic;33;filltruck;1593;7;819;6;319;1000;100;0.7;50
35;A3306.txt;genetic;33;filltruck;1593;7;814;6;319;1000;100;0.7;50
36;A3306.txt;genetic;33;filltruck;1593;7;862;6;316;1000;100;0.7;50
37;A3306.txt;genetic;33;filltruck;1593;7;792;6;318;1000;100;0.7;50
38;A3306.txt;genetic;33;filltruck;1593;7;746;6;325;1000;100;0.7;50
39;A3306.txt;genetic;33;filltruck;1593;7;852;6;327;1000;100;0.7;50
40;A3306.txt;genetic;33;filltruck;1593;7;804;6;324;1000;100;0.7;50
41;A3306.txt;genetic;33;filltruck;1593;7;759;6;335;1000;100;0.7;50
42;A3306.txt;genetic;33;filltruck;1593;7;751;6;329;1000;100;0.7;50
43;A3306.txt;genetic;33;filltruck;1593;7;863;7;329;1000;100;0.7;50
44;A3306.txt;genetic;33;filltruck;1593;7;865;6;322;1000;100;0.7;50
45;A3306.txt;genetic;33;filltruck;1593;7;797;6;325;1000;100;0.7;50
46;A3306.txt;genetic;33;filltruck;1593;7;850;6;326;1000;100;0.7;50
47;A3306.txt;genetic;33;filltruck;1593;7;817;6;320;1000;100;0.7;50
48;A3306.txt;genetic;33;filltruck;1593;7;813;6;320;1000;100;0.7;50
49;A3306.txt;genetic;33;filltruck;1593;7;869;6;318;1000;100;0.7;50
50;A3306.txt;genetic;33;filltruck;1593;7;833;6;319;1000;100;0.7;50
51;A3306.txt;genetic;33;filltruck;1593;7;889;6;318;1000;100;0.7;50
52;A3306.txt;genetic;33;filltruck;1593;7;884;6;323;1000;100;0.7;50
53;A3306.txt;genetic;33;filltruck;1593;7;761;6;320;1000;100;0.7;50
54;A3306.txt;genetic;33;filltruck;1593;7;859;6;321;1000;100;0.7;50
