i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;filltruck;2080;5;1992;6;61;1000;10;0.5;50
0;A3305.txt;genetic;33;filltruck;1886;5;1877;5;27;1000;10;0.5;50
0;A3306.txt;genetic;33;filltruck;1593;7;1593;7;27;1000;10;0.5;50
0;A3405.txt;genetic;34;filltruck;2073;6;1968;6;18;1000;10;0.5;50
0;A3605.txt;genetic;36;filltruck;1991;5;1991;5;23;1000;10;0.5;50
0;A3705.txt;genetic;37;filltruck;1593;5;1492;5;19;1000;10;0.5;50
0;A3706.txt;genetic;37;filltruck;2050;7;1969;7;24;1000;10;0.5;50
0;A3805.txt;genetic;38;filltruck;2251;6;2074;6;21;1000;10;0.5;50
0;A3905.txt;genetic;39;filltruck;2377;6;2226;6;20;1000;10;0.5;50
0;A3906.txt;genetic;39;filltruck;2385;6;2266;6;17;1000;10;0.5;50
0;A4406.txt;genetic;44;filltruck;2603;7;2603;7;26;1000;10;0.5;50
0;A4506.txt;genetic;45;filltruck;2815;7;2754;7;15;1000;10;0.5;50
0;A4507.txt;genetic;45;filltruck;2775;7;2725;8;14;1000;10;0.5;50
0;A4607.txt;genetic;46;filltruck;2693;7;2471;7;13;1000;10;0.5;50
0;A5307.txt;genetic;53;filltruck;3300;8;3119;8;13;1000;10;0.5;50
0;A5407.txt;genetic;54;filltruck;3491;8;3327;9;14;1000;10;0.5;50
0;A5509.txt;genetic;55;filltruck;2950;9;2873;9;15;1000;10;0.5;50
0;A6009.txt;genetic;60;filltruck;3770;10;3750;10;16;1000;10;0.5;50
0;A6109.txt;genetic;61;filltruck;3236;11;2909;10;17;1000;10;0.5;50
0;A6208.txt;genetic;62;filltruck;3474;8;3474;8;14;1000;10;0.5;50
0;A6310.txt;genetic;63;filltruck;3706;11;3620;11;15;1000;10;0.5;50
0;A6409.txt;genetic;64;filltruck;3734;10;3577;10;15;1000;10;0.5;50
0;A6509.txt;genetic;65;filltruck;3673;10;3673;10;15;1000;10;0.5;50
0;A6909.txt;genetic;69;filltruck;4196;10;3968;10;23;1000;10;0.5;50
0;A8010.txt;genetic;80;filltruck;5166;11;4887;11;20;1000;10;0.5;50
1;A3205.txt;genetic;32;filltruck;2080;5;1970;5;16;1000;15;0.5;50
1;A3305.txt;genetic;33;filltruck;1886;5;1732;6;16;1000;15;0.5;50
1;A3306.txt;genetic;33;filltruck;1593;7;1581;7;18;1000;15;0.5;50
1;A3405.txt;genetic;34;filltruck;2073;6;1831;6;16;1000;15;0.5;50
1;A3605.txt;genetic;36;filltruck;1991;5;1957;5;15;1000;15;0.5;50
1;A3705.txt;genetic;37;filltruck;1593;5;1593;5;18;1000;15;0.5;50
1;A3706.txt;genetic;37;filltruck;2050;7;2019;6;16;1000;15;0.5;50
1;A3805.txt;genetic;38;filltruck;2251;6;1948;6;15;1000;15;0.5;50
1;A3905.txt;genetic;39;filltruck;2377;6;2210;6;21;1000;15;0.5;50
1;A3906.txt;genetic;39;filltruck;2385;6;2091;6;16;1000;15;0.5;50
1;A4406.txt;genetic;44;filltruck;2603;7;2443;7;17;1000;15;0.5;50
1;A4506.txt;genetic;45;filltruck;2815;7;2700;7;19;1000;15;0.5;50
1;A4507.txt;genetic;45;filltruck;2775;7;2612;8;18;1000;15;0.5;50
1;A4607.txt;genetic;46;filltruck;2693;7;2509;8;19;1000;15;0.5;50
1;A5307.txt;genetic;53;filltruck;3300;8;2936;8;18;1000;15;0.5;50
1;A5407.txt;genetic;54;filltruck;3491;8;2997;8;18;1000;15;0.5;50
1;A5509.txt;genetic;55;filltruck;2950;9;2950;9;20;1000;15;0.5;50
1;A6009.txt;genetic;60;filltruck;3770;10;3662;10;25;1000;15;0.5;50
1;A6109.txt;genetic;61;filltruck;3236;11;3134;10;22;1000;15;0.5;50
1;A6208.txt;genetic;62;filltruck;3474;8;3474;8;19;1000;15;0.5;50
1;A6310.txt;genetic;63;filltruck;3706;11;3378;11;24;1000;15;0.5;50
1;A6409.txt;genetic;64;filltruck;3734;10;3625;10;23;1000;15;0.5;50
1;A6509.txt;genetic;65;filltruck;3673;10;3673;10;20;1000;15;0.5;50
1;A6909.txt;genetic;69;filltruck;4196;10;3840;10;21;1000;15;0.5;50
1;A8010.txt;genetic;80;filltruck;5166;11;5013;11;22;1000;15;0.5;50
2;A3205.txt;genetic;32;filltruck;2080;5;1895;5;19;1000;20;0.5;50
2;A3305.txt;genetic;33;filltruck;1886;5;1786;5;36;1000;20;0.5;50
2;A3306.txt;genetic;33;filltruck;1593;7;1546;7;32;1000;20;0.5;50
2;A3405.txt;genetic;34;filltruck;2073;6;1765;6;27;1000;20;0.5;50
2;A3605.txt;genetic;36;filltruck;1991;5;1977;5;19;1000;20;0.5;50
2;A3705.txt;genetic;37;filltruck;1593;5;1593;5;22;1000;20;0.5;50
2;A3706.txt;genetic;37;filltruck;2050;7;1924;7;23;1000;20;0.5;50
