i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;greedy;3740;31;996;5;619;1000;100;0.5;50
0;A3305.txt;genetic;33;greedy;2618;32;731;5;388;1000;100;0.5;50
0;A3306.txt;genetic;33;greedy;2544;32;808;6;378;1000;100;0.5;50
0;A3405.txt;genetic;34;greedy;3155;33;865;5;340;1000;100;0.5;50
0;A3605.txt;genetic;36;greedy;3896;35;959;5;315;1000;100;0.5;50
0;A3705.txt;genetic;37;greedy;2755;36;850;5;410;1000;100;0.5;50
0;A3706.txt;genetic;37;greedy;3812;36;1119;6;339;1000;100;0.5;50
0;A3805.txt;genetic;38;greedy;3075;37;922;6;326;1000;100;0.5;50
0;A3905.txt;genetic;39;greedy;3618;38;1075;6;329;1000;100;0.5;50
0;A3906.txt;genetic;39;greedy;3489;38;1049;6;337;1000;100;0.5;50
0;A4406.txt;genetic;44;greedy;4168;43;1247;7;350;1000;100;0.5;50
0;A4506.txt;genetic;45;greedy;4284;44;1239;7;367;1000;100;0.5;50
0;A4507.txt;genetic;45;greedy;5114;44;1362;7;359;1000;100;0.5;50
0;A4607.txt;genetic;46;greedy;4039;45;1222;7;371;1000;100;0.5;50
0;A5307.txt;genetic;53;greedy;5026;52;1469;9;410;1000;100;0.5;50
0;A5407.txt;genetic;54;greedy;5774;53;1685;7;412;1000;100;0.5;50
0;A5509.txt;genetic;55;greedy;4377;54;1534;9;435;1000;100;0.5;50
0;A6009.txt;genetic;60;greedy;6329;59;1849;9;463;1000;100;0.5;50
0;A6109.txt;genetic;61;greedy;4470;60;1524;10;460;1000;100;0.5;50
0;A6208.txt;genetic;62;greedy;7106;61;1939;9;455;1000;100;0.5;50
0;A6310.txt;genetic;63;greedy;5761;62;2011;10;486;1000;100;0.5;50
0;A6409.txt;genetic;64;greedy;7632;63;2039;9;472;1000;100;0.5;50
0;A6509.txt;genetic;65;greedy;5722;64;1837;10;481;1000;100;0.5;50
0;A6909.txt;genetic;69;greedy;5513;68;1922;11;510;1000;100;0.5;50
0;A8010.txt;genetic;80;greedy;11153;79;2760;10;567;1000;100;0.5;50
1;A3205.txt;genetic;32;greedy;3740;31;1011;5;289;1000;100;0.5;50
1;A3305.txt;genetic;33;greedy;2618;32;781;5;302;1000;100;0.5;50
1;A3306.txt;genetic;33;greedy;2544;32;844;6;310;1000;100;0.5;50
1;A3405.txt;genetic;34;greedy;3155;33;870;5;304;1000;100;0.5;50
1;A3605.txt;genetic;36;greedy;3896;35;927;5;309;1000;100;0.5;50
1;A3705.txt;genetic;37;greedy;2755;36;855;5;316;1000;100;0.5;50
1;A3706.txt;genetic;37;greedy;3812;36;1250;6;324;1000;100;0.5;50
1;A3805.txt;genetic;38;greedy;3075;37;888;5;320;1000;100;0.5;50
1;A3905.txt;genetic;39;greedy;3618;38;1101;5;329;1000;100;0.5;50
1;A3906.txt;genetic;39;greedy;3489;38;977;6;338;1000;100;0.5;50
1;A4406.txt;genetic;44;greedy;4168;43;1123;7;354;1000;100;0.5;50
1;A4506.txt;genetic;45;greedy;4284;44;1233;7;376;1000;100;0.5;50
1;A4507.txt;genetic;45;greedy;5114;44;1484;7;363;1000;100;0.5;50
1;A4607.txt;genetic;46;greedy;4039;45;1127;7;380;1000;100;0.5;50
1;A5307.txt;genetic;53;greedy;5026;52;1475;8;399;1000;100;0.5;50
1;A5407.txt;genetic;54;greedy;5774;53;1628;8;415;1000;100;0.5;50
1;A5509.txt;genetic;55;greedy;4377;54;1571;10;452;1000;100;0.5;50
1;A6009.txt;genetic;60;greedy;6329;59;1937;9;453;1000;100;0.5;50
1;A6109.txt;genetic;61;greedy;4470;60;1502;10;480;1000;100;0.5;50
