i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;filltruck;2080;5;1001;5;554;1000;100;0.7;50
0;A3305.txt;genetic;33;filltruck;1886;5;736;5;378;1000;100;0.7;50
0;A3306.txt;genetic;33;filltruck;1593;7;881;6;347;1000;100;0.7;50
0;A3405.txt;genetic;34;filltruck;2073;6;1015;5;313;1000;100;0.7;50
0;A3605.txt;genetic;36;filltruck;1991;5;871;5;311;1000;100;0.7;50
0;A3705.txt;genetic;37;filltruck;1593;5;779;5;353;1000;100;0.7;50
0;A3706.txt;genetic;37;filltruck;2050;7;1104;7;454;1000;100;0.7;50
0;A3805.txt;genetic;38;filltruck;2251;6;855;6;326;1000;100;0.7;50
0;A3905.txt;genetic;39;filltruck;2377;6;1072;6;327;1000;100;0.7;50
0;A3906.txt;genetic;39;filltruck;2385;6;1002;6;353;1000;100;0.7;50
0;A4406.txt;genetic;44;filltruck;2603;7;1177;6;374;1000;100;0.7;50
0;A4506.txt;genetic;45;filltruck;2815;7;1163;7;358;1000;100;0.7;50
0;A4507.txt;genetic;45;filltruck;2775;7;1381;7;354;1000;100;0.7;50
0;A4607.txt;genetic;46;filltruck;2693;7;1111;7;352;1000;100;0.7;50
0;A5307.txt;genetic;53;filltruck;3300;8;1381;7;382;1000;100;0.7;50
0;A5407.txt;genetic;54;filltruck;3491;8;1558;7;382;1000;100;0.7;50
0;A5509.txt;genetic;55;filltruck;2950;9;1448;10;410;1000;100;0.7;50
0;A6009.txt;genetic;60;filltruck;3770;10;1851;9;424;1000;100;0.7;50
0;A6109.txt;genetic;61;filltruck;3236;11;1390;10;435;1000;100;0.7;50
0;A6208.txt;genetic;62;filltruck;3474;8;1795;8;420;1000;100;0.7;50
0;A6310.txt;genetic;63;filltruck;3706;11;1880;10;449;1000;100;0.7;50
0;A6409.txt;genetic;64;filltruck;3734;10;1942;9;438;1000;100;0.7;50
0;A6509.txt;genetic;65;filltruck;3673;10;1778;10;448;1000;100;0.7;50
0;A6909.txt;genetic;69;filltruck;4196;10;1825;10;461;1000;100;0.7;50
0;A8010.txt;genetic;80;filltruck;5166;11;2714;10;498;1000;100;0.7;50
1;A3205.txt;genetic;32;filltruck;2080;5;917;5;296;1000;100;0.7;50
1;A3305.txt;genetic;33;filltruck;1886;5;814;5;306;1000;100;0.7;50
1;A3306.txt;genetic;33;filltruck;1593;7;891;6;326;1000;100;0.7;50
1;A3405.txt;genetic;34;filltruck;2073;6;864;6;316;1000;100;0.7;50
1;A3605.txt;genetic;36;filltruck;1991;5;908;5;317;1000;100;0.7;50
1;A3705.txt;genetic;37;filltruck;1593;5;816;5;315;1000;100;0.7;50
1;A3706.txt;genetic;37;filltruck;2050;7;1090;6;338;1000;100;0.7;50
1;A3805.txt;genetic;38;filltruck;2251;6;853;6;332;1000;100;0.7;50
1;A3905.txt;genetic;39;filltruck;2377;6;947;6;340;1000;100;0.7;50
1;A3906.txt;genetic;39;filltruck;2385;6;955;6;342;1000;100;0.7;50
1;A4406.txt;genetic;44;filltruck;2603;7;1212;7;363;1000;100;0.7;50
1;A4506.txt;genetic;45;filltruck;2815;7;1237;7;382;1000;100;0.7;50
1;A4507.txt;genetic;45;filltruck;2775;7;1286;7;388;1000;100;0.7;50
1;A4607.txt;genetic;46;filltruck;2693;7;1220;7;386;1000;100;0.7;50
1;A5307.txt;genetic;53;filltruck;3300;8;1450;8;415;1000;100;0.7;50
1;A5407.txt;genetic;54;filltruck;3491;8;1568;7;400;1000;100;0.7;50
1;A5509.txt;genetic;55;filltruck;2950;9;1386;10;425;1000;100;0.7;50
1;A6009.txt;genetic;60;filltruck;3770;10;1837;9;436;1000;100;0.7;50
1;A6109.txt;genetic;61;filltruck;3236;11;1623;11;462;1000;100;0.7;50
1;A6208.txt;genetic;62;filltruck;3474;8;1749;8;459;1000;100;0.7;50
1;A6310.txt;genetic;63;filltruck;3706;11;1821;11;483;1000;100;0.7;50
1;A6409.txt;genetic;64;filltruck;3734;10;1921;9;460;1000;100;0.7;50
1;A6509.txt;genetic;65;filltruck;3673;10;1673;10;474;1000;100;0.7;50
1;A6909.txt;genetic;69;filltruck;4196;10;1774;10;481;1000;100;0.7;50
1;A8010.txt;genetic;80;filltruck;5166;11;2725;11;514;1000;100;0.7;50
2;A3205.txt;genetic;32;filltruck;2080;5;895;5;307;1000;100;0.7;50
2;A3305.txt;genetic;33;filltruck;1886;5;707;5;310;1000;100;0.7;50
2;A3306.txt;genetic;33;filltruck;1593;7;787;6;359;1000;100;0.7;50
2;A3405.txt;genetic;34;filltruck;2073;6;909;5;356;1000;100;0.7;50
2;A3605.txt;genetic;36;filltruck;1991;5;971;5;325;1000;100;0.7;50
2;A3705.txt;genetic;37;filltruck;1593;5;870;5;324;1000;100;0.7;50
2;A3706.txt;genetic;37;filltruck;2050;7;1120;7;361;1000;100;0.7;50
2;A3805.txt;genetic;38;filltruck;2251;6;896;6;343;1000;100;0.7;50
