i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;filltruck;2080;5;961;5;882;1000;100;0.5;50
0;A3305.txt;genetic;33;filltruck;1886;5;845;5;519;1000;100;0.5;50
0;A3306.txt;genetic;33;filltruck;1593;7;900;6;405;1000;100;0.5;50
0;A3405.txt;genetic;34;filltruck;2073;6;868;5;323;1000;100;0.5;50
0;A3605.txt;genetic;36;filltruck;1991;5;1035;5;306;1000;100;0.5;50
0;A3705.txt;genetic;37;filltruck;1593;5;788;5;416;1000;100;0.5;50
0;A3706.txt;genetic;37;filltruck;2050;7;1137;6;327;1000;100;0.5;50
0;A3805.txt;genetic;38;filltruck;2251;6;972;6;326;1000;100;0.5;50
0;A3905.txt;genetic;39;filltruck;2377;6;993;5;330;1000;100;0.5;50
0;A3906.txt;genetic;39;filltruck;2385;6;1103;7;335;1000;100;0.5;50
0;A4406.txt;genetic;44;filltruck;2603;7;1327;6;354;1000;100;0.5;50
0;A4506.txt;genetic;45;filltruck;2815;7;1322;7;356;1000;100;0.5;50
0;A4507.txt;genetic;45;filltruck;2775;7;1327;7;368;1000;100;0.5;50
0;A4607.txt;genetic;46;filltruck;2693;7;1145;7;363;1000;100;0.5;50
0;A5307.txt;genetic;53;filltruck;3300;8;1490;8;397;1000;100;0.5;50
0;A5407.txt;genetic;54;filltruck;3491;8;1615;8;415;1000;100;0.5;50
0;A5509.txt;genetic;55;filltruck;2950;9;1513;9;442;1000;100;0.5;50
0;A6009.txt;genetic;60;filltruck;3770;10;1964;9;444;1000;100;0.5;50
0;A6109.txt;genetic;61;filltruck;3236;11;1588;11;462;1000;100;0.5;50
0;A6208.txt;genetic;62;filltruck;3474;8;1866;9;441;1000;100;0.5;50
0;A6310.txt;genetic;63;filltruck;3706;11;1843;10;473;1000;100;0.5;50
0;A6409.txt;genetic;64;filltruck;3734;10;2055;10;470;1000;100;0.5;50
0;A6509.txt;genetic;65;filltruck;3673;10;1857;10;465;1000;100;0.5;50
0;A6909.txt;genetic;69;filltruck;4196;10;1884;10;484;1000;100;0.5;50
0;A8010.txt;genetic;80;filltruck;5166;11;2759;10;537;1000;100;0.5;50
1;A3205.txt;genetic;32;filltruck;2080;5;890;5;292;1000;100;0.5;50
1;A3305.txt;genetic;33;filltruck;1886;5;779;6;301;1000;100;0.5;50
1;A3306.txt;genetic;33;filltruck;1593;7;874;6;311;1000;100;0.5;50
1;A3405.txt;genetic;34;filltruck;2073;6;849;5;302;1000;100;0.5;50
1;A3605.txt;genetic;36;filltruck;1991;5;975;5;315;1000;100;0.5;50
1;A3705.txt;genetic;37;filltruck;1593;5;822;5;309;1000;100;0.5;50
1;A3706.txt;genetic;37;filltruck;2050;7;1128;6;331;1000;100;0.5;50
1;A3805.txt;genetic;38;filltruck;2251;6;950;5;319;1000;100;0.5;50
1;A3905.txt;genetic;39;filltruck;2377;6;948;5;330;1000;100;0.5;50
1;A3906.txt;genetic;39;filltruck;2385;6;1017;6;337;1000;100;0.5;50
1;A4406.txt;genetic;44;filltruck;2603;7;1161;7;361;1000;100;0.5;50
1;A4506.txt;genetic;45;filltruck;2815;7;1254;7;364;1000;100;0.5;50
1;A4507.txt;genetic;45;filltruck;2775;7;1426;7;363;1000;100;0.5;50
1;A4607.txt;genetic;46;filltruck;2693;7;1185;7;367;1000;100;0.5;50
1;A5307.txt;genetic;53;filltruck;3300;8;1545;8;402;1000;100;0.5;50
1;A5407.txt;genetic;54;filltruck;3491;8;1617;7;408;1000;100;0.5;50
1;A5509.txt;genetic;55;filltruck;2950;9;1522;10;438;1000;100;0.5;50
1;A6009.txt;genetic;60;filltruck;3770;10;1843;9;449;1000;100;0.5;50
1;A6109.txt;genetic;61;filltruck;3236;11;1512;10;468;1000;100;0.5;50
1;A6208.txt;genetic;62;filltruck;3474;8;1915;8;448;1000;100;0.5;50
1;A6310.txt;genetic;63;filltruck;3706;11;1858;11;485;1000;100;0.5;50
1;A6409.txt;genetic;64;filltruck;3734;10;2078;10;472;1000;100;0.5;50
1;A6509.txt;genetic;65;filltruck;3673;10;1837;10;469;1000;100;0.5;50
1;A6909.txt;genetic;69;filltruck;4196;10;1906;9;489;1000;100;0.5;50
1;A8010.txt;genetic;80;filltruck;5166;11;2863;10;536;1000;100;0.5;50
2;A3205.txt;genetic;32;filltruck;2080;5;1028;5;290;1000;100;0.5;50
2;A3305.txt;genetic;33;filltruck;1886;5;743;6;302;1000;100;0.5;50
2;A3306.txt;genetic;33;filltruck;1593;7;827;6;315;1000;100;0.5;50
2;A3405.txt;genetic;34;filltruck;2073;6;926;6;308;1000;100;0.5;50
2;A3605.txt;genetic;36;filltruck;1991;5;922;5;318;1000;100;0.5;50
2;A3705.txt;genetic;37;filltruck;1593;5;816;5;311;1000;100;0.5;50
