i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;greedy;3740;31;991;5;875;1000;100;0.5;30
0;A3305.txt;genetic;33;greedy;2618;32;806;5;563;1000;100;0.5;30
0;A3306.txt;genetic;33;greedy;2544;32;864;7;606;1000;100;0.5;30
0;A3405.txt;genetic;34;greedy;3155;33;849;5;438;1000;100;0.5;30
0;A3605.txt;genetic;36;greedy;3896;35;978;5;574;1000;100;0.5;30
0;A3705.txt;genetic;37;greedy;2755;36;836;5;453;1000;100;0.5;30
0;A3706.txt;genetic;37;greedy;3812;36;1104;6;489;1000;100;0.5;30
0;A3805.txt;genetic;38;greedy;3075;37;964;5;473;1000;100;0.5;30
0;A3905.txt;genetic;39;greedy;3618;38;996;5;485;1000;100;0.5;30
0;A3906.txt;genetic;39;greedy;3489;38;1008;7;502;1000;100;0.5;30
0;A4406.txt;genetic;44;greedy;4168;43;1109;7;523;1000;100;0.5;30
0;A4506.txt;genetic;45;greedy;4284;44;1196;7;538;1000;100;0.5;30
0;A4507.txt;genetic;45;greedy;5114;44;1310;7;541;1000;100;0.5;30
0;A4607.txt;genetic;46;greedy;4039;45;1190;7;550;1000;100;0.5;30
0;A5307.txt;genetic;53;greedy;5026;52;1344;8;598;1000;100;0.5;30
0;A5407.txt;genetic;54;greedy;5774;53;1550;8;619;1000;100;0.5;30
0;A5509.txt;genetic;55;greedy;4377;54;1444;10;641;1000;100;0.5;30
0;A6009.txt;genetic;60;greedy;6329;59;1904;10;674;1000;100;0.5;30
0;A6109.txt;genetic;61;greedy;4470;60;1478;10;695;1000;100;0.5;30
0;A6208.txt;genetic;62;greedy;7106;61;1752;9;682;1000;100;0.5;30
0;A6310.txt;genetic;63;greedy;5761;62;1911;12;725;1000;100;0.5;30
0;A6409.txt;genetic;64;greedy;7632;63;1943;10;712;1000;100;0.5;30
0;A6509.txt;genetic;65;greedy;5722;64;1779;10;713;1000;100;0.5;30
0;A6909.txt;genetic;69;greedy;5513;68;1778;10;763;1000;100;0.5;30
0;A8010.txt;genetic;80;greedy;11153;79;2788;11;830;1000;100;0.5;30
1;A3205.txt;genetic;32;greedy;3740;31;875;5;422;1000;100;0.5;30
1;A3305.txt;genetic;33;greedy;2618;32;754;5;442;1000;100;0.5;30
1;A3306.txt;genetic;33;greedy;2544;32;792;6;447;1000;100;0.5;30
1;A3405.txt;genetic;34;greedy;3155;33;861;5;450;1000;100;0.5;30
