i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;filltruck;2080;5;1020;5;970;1000;100;0.5;1
0;A3305.txt;genetic;33;filltruck;1886;5;920;5;688;1000;100;0.5;1
0;A3306.txt;genetic;33;filltruck;1593;7;969;6;629;1000;100;0.5;1
0;A3405.txt;genetic;34;filltruck;2073;6;1240;5;621;1000;100;0.5;1
0;A3605.txt;genetic;36;filltruck;1991;5;1048;5;525;1000;100;0.5;1
0;A3705.txt;genetic;37;filltruck;1593;5;986;5;525;1000;100;0.5;1
0;A3706.txt;genetic;37;filltruck;2050;7;1330;7;551;1000;100;0.5;1
0;A3805.txt;genetic;38;filltruck;2251;6;1025;5;547;1000;100;0.5;1
0;A3905.txt;genetic;39;filltruck;2377;6;1101;6;550;1000;100;0.5;1
0;A3906.txt;genetic;39;filltruck;2385;6;1159;6;569;1000;100;0.5;1
0;A4406.txt;genetic;44;filltruck;2603;7;1196;6;589;1000;100;0.5;1
0;A4506.txt;genetic;45;filltruck;2815;7;1530;7;597;1000;100;0.5;1
0;A4507.txt;genetic;45;filltruck;2775;7;1479;7;827;1000;100;0.5;1
0;A4607.txt;genetic;46;filltruck;2693;7;1410;7;729;1000;100;0.5;1
0;A5307.txt;genetic;53;filltruck;3300;8;1661;8;777;1000;100;0.5;1
0;A5407.txt;genetic;54;filltruck;3491;8;1930;8;742;1000;100;0.5;1
0;A5509.txt;genetic;55;filltruck;2950;9;1723;10;772;1000;100;0.5;1
0;A6009.txt;genetic;60;filltruck;3770;10;2119;9;777;1000;100;0.5;1
0;A6109.txt;genetic;61;filltruck;3236;11;1641;11;838;1000;100;0.5;1
0;A6208.txt;genetic;62;filltruck;3474;8;2093;8;902;1000;100;0.5;1
0;A6310.txt;genetic;63;filltruck;3706;11;2169;11;900;1000;100;0.5;1
0;A6409.txt;genetic;64;filltruck;3734;10;2278;9;857;1000;100;0.5;1
0;A6509.txt;genetic;65;filltruck;3673;10;1900;10;921;1000;100;0.5;1
0;A6909.txt;genetic;69;filltruck;4196;10;2168;10;951;1000;100;0.5;1
0;A8010.txt;genetic;80;filltruck;5166;11;3074;11;1017;1000;100;0.5;1
1;A3205.txt;genetic;32;filltruck;2080;5;932;5;528;1000;100;0.5;1
1;A3305.txt;genetic;33;filltruck;1886;5;809;5;549;1000;100;0.5;1
1;A3306.txt;genetic;33;filltruck;1593;7;972;6;562;1000;100;0.5;1
1;A3405.txt;genetic;34;filltruck;2073;6;981;5;552;1000;100;0.5;1
1;A3605.txt;genetic;36;filltruck;1991;5;1114;5;595;1000;100;0.5;1
1;A3705.txt;genetic;37;filltruck;1593;5;944;5;568;1000;100;0.5;1
1;A3706.txt;genetic;37;filltruck;2050;7;1250;7;652;1000;100;0.5;1
1;A3805.txt;genetic;38;filltruck;2251;6;1043;6;607;1000;100;0.5;1
1;A3905.txt;genetic;39;filltruck;2377;6;1165;5;618;1000;100;0.5;1
1;A3906.txt;genetic;39;filltruck;2385;6;1116;6;615;1000;100;0.5;1
1;A4406.txt;genetic;44;filltruck;2603;7;1354;7;690;1000;100;0.5;1
1;A4506.txt;genetic;45;filltruck;2815;7;1258;7;633;1000;100;0.5;1
1;A4507.txt;genetic;45;filltruck;2775;7;1546;7;716;1000;100;0.5;1
1;A4607.txt;genetic;46;filltruck;2693;7;1380;7;769;1000;100;0.5;1
1;A5307.txt;genetic;53;filltruck;3300;8;1709;8;687;1000;100;0.5;1
1;A5407.txt;genetic;54;filltruck;3491;8;1722;8;758;1000;100;0.5;1
1;A5509.txt;genetic;55;filltruck;2950;9;1716;10;738;1000;100;0.5;1
1;A6009.txt;genetic;60;filltruck;3770;10;2038;9;762;1000;100;0.5;1
1;A6109.txt;genetic;61;filltruck;3236;11;1798;10;795;1000;100;0.5;1
1;A6208.txt;genetic;62;filltruck;3474;8;1987;9;762;1000;100;0.5;1
1;A6310.txt;genetic;63;filltruck;3706;11;1919;11;822;1000;100;0.5;1
1;A6409.txt;genetic;64;filltruck;3734;10;2215;10;809;1000;100;0.5;1
1;A6509.txt;genetic;65;filltruck;3673;10;1952;10;791;1000;100;0.5;1
1;A6909.txt;genetic;69;filltruck;4196;10;2114;9;842;1000;100;0.5;1
1;A8010.txt;genetic;80;filltruck;5166;11;3167;11;933;1000;100;0.5;1
2;A3205.txt;genetic;32;filltruck;2080;5;1131;5;472;1000;100;0.5;1
2;A3305.txt;genetic;33;filltruck;1886;5;914;5;490;1000;100;0.5;1
2;A3306.txt;genetic;33;filltruck;1593;7;942;6;509;1000;100;0.5;1
2;A3405.txt;genetic;34;filltruck;2073;6;1025;6;507;1000;100;0.5;1
2;A3605.txt;genetic;36;filltruck;1991;5;1041;5;510;1000;100;0.5;1
2;A3705.txt;genetic;37;filltruck;1593;5;988;5;508;1000;100;0.5;1
2;A3706.txt;genetic;37;filltruck;2050;7;1164;6;553;1000;100;0.5;1
2;A3805.txt;genetic;38;filltruck;2251;6;938;5;538;1000;100;0.5;1
2;A3905.txt;genetic;39;filltruck;2377;6;1216;6;544;1000;100;0.5;1
2;A3906.txt;genetic;39;filltruck;2385;6;1233;7;544;1000;100;0.5;1
2;A4406.txt;genetic;44;filltruck;2603;7;1325;7;584;1000;100;0.5;1
2;A4506.txt;genetic;45;filltruck;2815;7;1366;7;615;1000;100;0.5;1
2;A4507.txt;genetic;45;filltruck;2775;7;1426;7;604;1000;100;0.5;1
2;A4607.txt;genetic;46;filltruck;2693;7;1397;7;601;1000;100;0.5;1
2;A5307.txt;genetic;53;filltruck;3300;8;1608;8;697;1000;100;0.5;1
2;A5407.txt;genetic;54;filltruck;3491;8;1745;8;692;1000;100;0.5;1
2;A5509.txt;genetic;55;filltruck;2950;9;1484;10;718;1000;100;0.5;1
2;A6009.txt;genetic;60;filltruck;3770;10;2053;9;762;1000;100;0.5;1
2;A6109.txt;genetic;61;filltruck;3236;11;1671;10;784;1000;100;0.5;1
2;A6208.txt;genetic;62;filltruck;3474;8;2144;8;753;1000;100;0.5;1
2;A6310.txt;genetic;63;filltruck;3706;11;2290;10;787;1000;100;0.5;1
2;A6409.txt;genetic;64;filltruck;3734;10;2278;10;796;1000;100;0.5;1
2;A6509.txt;genetic;65;filltruck;3673;10;2093;11;805;1000;100;0.5;1
2;A6909.txt;genetic;69;filltruck;4196;10;2036;10;835;1000;100;0.5;1
2;A8010.txt;genetic;80;filltruck;5166;11;2989;11;911;1000;100;0.5;1
3;A3205.txt;genetic;32;filltruck;2080;5;1055;5;477;1000;100;0.5;1
3;A3305.txt;genetic;33;filltruck;1886;5;809;5;490;1000;100;0.5;1
