i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;greedy;3740;31;919;5;691;1000;100;0.5;50
0;A3305.txt;genetic;33;greedy;2618;32;810;5;419;1000;100;0.5;50
0;A3306.txt;genetic;33;greedy;2544;32;846;6;432;1000;100;0.5;50
0;A3405.txt;genetic;34;greedy;3155;33;943;5;360;1000;100;0.5;50
0;A3605.txt;genetic;36;greedy;3896;35;977;5;341;1000;100;0.5;50
0;A3705.txt;genetic;37;greedy;2755;36;843;5;463;1000;100;0.5;50
0;A3706.txt;genetic;37;greedy;3812;36;1130;7;365;1000;100;0.5;50
0;A3805.txt;genetic;38;greedy;3075;37;862;6;353;1000;100;0.5;50
0;A3905.txt;genetic;39;greedy;3618;38;1026;5;362;1000;100;0.5;50
0;A3906.txt;genetic;39;greedy;3489;38;1058;6;505;1000;100;0.5;50
0;A4406.txt;genetic;44;greedy;4168;43;1228;7;437;1000;100;0.5;50
0;A4506.txt;genetic;45;greedy;4284;44;1287;7;397;1000;100;0.5;50
0;A4507.txt;genetic;45;greedy;5114;44;1378;7;413;1000;100;0.5;50
0;A4607.txt;genetic;46;greedy;4039;45;1226;7;402;1000;100;0.5;50
0;A5307.txt;genetic;53;greedy;5026;52;1391;7;448;1000;100;0.5;50
0;A5407.txt;genetic;54;greedy;5774;53;1703;8;463;1000;100;0.5;50
0;A5509.txt;genetic;55;greedy;4377;54;1384;10;489;1000;100;0.5;50
0;A6009.txt;genetic;60;greedy;6329;59;1871;9;496;1000;100;0.5;50
0;A6109.txt;genetic;61;greedy;4470;60;1514;10;504;1000;100;0.5;50
0;A6208.txt;genetic;62;greedy;7106;61;1961;8;497;1000;100;0.5;50
0;A6310.txt;genetic;63;greedy;5761;62;1835;10;534;1000;100;0.5;50
0;A6409.txt;genetic;64;greedy;7632;63;2037;10;526;1000;100;0.5;50
0;A6509.txt;genetic;65;greedy;5722;64;1969;11;534;1000;100;0.5;50
0;A6909.txt;genetic;69;greedy;5513;68;1865;11;568;1000;100;0.5;50
0;A8010.txt;genetic;80;greedy;11153;79;2743;11;602;1000;100;0.5;50
1;A3205.txt;genetic;32;greedy;3740;31;916;5;316;1000;100;0.5;50
1;A3305.txt;genetic;33;greedy;2618;32;819;5;326;1000;100;0.5;50
1;A3306.txt;genetic;33;greedy;2544;32;781;6;336;1000;100;0.5;50
1;A3405.txt;genetic;34;greedy;3155;33;916;5;342;1000;100;0.5;50
1;A3605.txt;genetic;36;greedy;3896;35;913;5;339;1000;100;0.5;50
1;A3705.txt;genetic;37;greedy;2755;36;869;5;337;1000;100;0.5;50
1;A3706.txt;genetic;37;greedy;3812;36;1099;7;361;1000;100;0.5;50
1;A3805.txt;genetic;38;greedy;3075;37;989;6;353;1000;100;0.5;50
1;A3905.txt;genetic;39;greedy;3618;38;1015;5;358;1000;100;0.5;50
1;A3906.txt;genetic;39;greedy;3489;38;1084;6;365;1000;100;0.5;50
1;A4406.txt;genetic;44;greedy;4168;43;1203;7;390;1000;100;0.5;50
1;A4506.txt;genetic;45;greedy;4284;44;1302;8;413;1000;100;0.5;50
1;A4507.txt;genetic;45;greedy;5114;44;1484;7;402;1000;100;0.5;50
1;A4607.txt;genetic;46;greedy;4039;45;1225;7;398;1000;100;0.5;50
1;A5307.txt;genetic;53;greedy;5026;52;1448;8;445;1000;100;0.5;50
1;A5407.txt;genetic;54;greedy;5774;53;1495;7;451;1000;100;0.5;50
1;A5509.txt;genetic;55;greedy;4377;54;1381;9;482;1000;100;0.5;50
1;A6009.txt;genetic;60;greedy;6329;59;1773;9;491;1000;100;0.5;50
1;A6109.txt;genetic;61;greedy;4470;60;1495;10;520;1000;100;0.5;50
1;A6208.txt;genetic;62;greedy;7106;61;1798;9;488;1000;100;0.5;50
1;A6310.txt;genetic;63;greedy;5761;62;1899;10;525;1000;100;0.5;50
1;A6409.txt;genetic;64;greedy;7632;63;2014;9;514;1000;100;0.5;50
1;A6509.txt;genetic;65;greedy;5722;64;1849;11;533;1000;100;0.5;50
1;A6909.txt;genetic;69;greedy;5513;68;1886;11;552;1000;100;0.5;50
1;A8010.txt;genetic;80;greedy;11153;79;2643;10;600;1000;100;0.5;50
2;A3205.txt;genetic;32;greedy;3740;31;939;5;317;1000;100;0.5;50
2;A3305.txt;genetic;33;greedy;2618;32;668;5;334;1000;100;0.5;50
2;A3306.txt;genetic;33;greedy;2544;32;803;6;337;1000;100;0.5;50
2;A3405.txt;genetic;34;greedy;3155;33;863;5;329;1000;100;0.5;50
2;A3605.txt;genetic;36;greedy;3896;35;981;5;336;1000;100;0.5;50
2;A3705.txt;genetic;37;greedy;2755;36;885;5;346;1000;100;0.5;50
2;A3706.txt;genetic;37;greedy;3812;36;1090;7;364;1000;100;0.5;50
2;A3805.txt;genetic;38;greedy;3075;37;905;6;354;1000;100;0.5;50
2;A3905.txt;genetic;39;greedy;3618;38;1000;6;358;1000;100;0.5;50
2;A3906.txt;genetic;39;greedy;3489;38;1066;6;362;1000;100;0.5;50
2;A4406.txt;genetic;44;greedy;4168;43;1218;6;378;1000;100;0.5;50
2;A4506.txt;genetic;45;greedy;4284;44;1227;7;394;1000;100;0.5;50
2;A4507.txt;genetic;45;greedy;5114;44;1426;7;392;1000;100;0.5;50
2;A4607.txt;genetic;46;greedy;4039;45;1176;7;395;1000;100;0.5;50
2;A5307.txt;genetic;53;greedy;5026;52;1416;8;435;1000;100;0.5;50
2;A5407.txt;genetic;54;greedy;5774;53;1689;7;442;1000;100;0.5;50
2;A5509.txt;genetic;55;greedy;4377;54;1441;9;470;1000;100;0.5;50
2;A6009.txt;genetic;60;greedy;6329;59;1837;9;490;1000;100;0.5;50
2;A6109.txt;genetic;61;greedy;4470;60;1512;10;506;1000;100;0.5;50
2;A6208.txt;genetic;62;greedy;7106;61;1919;9;497;1000;100;0.5;50
2;A6310.txt;genetic;63;greedy;5761;62;1920;10;516;1000;100;0.5;50
2;A6409.txt;genetic;64;greedy;7632;63;1981;9;508;1000;100;0.5;50
2;A6509.txt;genetic;65;greedy;5722;64;1952;11;542;1000;100;0.5;50
2;A6909.txt;genetic;69;greedy;5513;68;1885;10;539;1000;100;0.5;50
2;A8010.txt;genetic;80;greedy;11153;79;2821;11;595;1000;100;0.5;50
3;A3205.txt;genetic;32;greedy;3740;31;988;5;321;1000;100;0.5;50
3;A3305.txt;genetic;33;greedy;2618;32;845;5;330;1000;100;0.5;50
3;A3306.txt;genetic;33;greedy;2544;32;816;6;340;1000;100;0.5;50
3;A3405.txt;genetic;34;greedy;3155;33;916;5;328;1000;100;0.5;50
3;A3605.txt;genetic;36;greedy;3896;35;921;5;345;1000;100;0.5;50
