i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;greedy;3740;31;979;5;775;1000;100;0.5;30
0;A3305.txt;genetic;33;greedy;2618;32;793;5;525;1000;100;0.5;30
0;A3306.txt;genetic;33;greedy;2544;32;834;6;526;1000;100;0.5;30
0;A3405.txt;genetic;34;greedy;3155;33;880;5;420;1000;100;0.5;30
0;A3605.txt;genetic;36;greedy;3896;35;940;5;548;1000;100;0.5;30
0;A3705.txt;genetic;37;greedy;2755;36;808;5;439;1000;100;0.5;30
0;A3706.txt;genetic;37;greedy;3812;36;1065;6;455;1000;100;0.5;30
0;A3805.txt;genetic;38;greedy;3075;37;1023;6;479;1000;100;0.5;30
0;A3905.txt;genetic;39;greedy;3618;38;1088;6;457;1000;100;0.5;30
0;A3906.txt;genetic;39;greedy;3489;38;1055;6;456;1000;100;0.5;30
0;A4406.txt;genetic;44;greedy;4168;43;1075;6;480;1000;100;0.5;30
0;A4506.txt;genetic;45;greedy;4284;44;1251;7;500;1000;100;0.5;30
0;A4507.txt;genetic;45;greedy;5114;44;1327;7;502;1000;100;0.5;30
0;A4607.txt;genetic;46;greedy;4039;45;1188;7;506;1000;100;0.5;30
0;A5307.txt;genetic;53;greedy;5026;52;1329;8;574;1000;100;0.5;30
0;A5407.txt;genetic;54;greedy;5774;53;1531;7;568;1000;100;0.5;30
0;A5509.txt;genetic;55;greedy;4377;54;1383;9;595;1000;100;0.5;30
0;A6009.txt;genetic;60;greedy;6329;59;1940;9;622;1000;100;0.5;30
0;A6109.txt;genetic;61;greedy;4470;60;1418;10;636;1000;100;0.5;30
0;A6208.txt;genetic;62;greedy;7106;61;1792;8;644;1000;100;0.5;30
0;A6310.txt;genetic;63;greedy;5761;62;1707;10;664;1000;100;0.5;30
0;A6409.txt;genetic;64;greedy;7632;63;1894;9;647;1000;100;0.5;30
0;A6509.txt;genetic;65;greedy;5722;64;1656;10;671;1000;100;0.5;30
0;A6909.txt;genetic;69;greedy;5513;68;1709;9;717;1000;100;0.5;30
0;A8010.txt;genetic;80;greedy;11153;79;2712;11;786;1000;100;0.5;30
1;A3205.txt;genetic;32;greedy;3740;31;919;5;402;1000;100;0.5;30
1;A3305.txt;genetic;33;greedy;2618;32;728;5;415;1000;100;0.5;30
1;A3306.txt;genetic;33;greedy;2544;32;826;6;423;1000;100;0.5;30
1;A3405.txt;genetic;34;greedy;3155;33;837;5;415;1000;100;0.5;30
1;A3605.txt;genetic;36;greedy;3896;35;946;5;424;1000;100;0.5;30
1;A3705.txt;genetic;37;greedy;2755;36;865;5;432;1000;100;0.5;30
1;A3706.txt;genetic;37;greedy;3812;36;1183;7;456;1000;100;0.5;30
1;A3805.txt;genetic;38;greedy;3075;37;839;6;445;1000;100;0.5;30
1;A3905.txt;genetic;39;greedy;3618;38;972;5;446;1000;100;0.5;30
1;A3906.txt;genetic;39;greedy;3489;38;1110;6;458;1000;100;0.5;30
1;A4406.txt;genetic;44;greedy;4168;43;1156;6;490;1000;100;0.5;30
1;A4506.txt;genetic;45;greedy;4284;44;1202;7;495;1000;100;0.5;30
1;A4507.txt;genetic;45;greedy;5114;44;1407;7;506;1000;100;0.5;30
1;A4607.txt;genetic;46;greedy;4039;45;1189;7;506;1000;100;0.5;30
1;A5307.txt;genetic;53;greedy;5026;52;1392;8;570;1000;100;0.5;30
1;A5407.txt;genetic;54;greedy;5774;53;1632;7;572;1000;100;0.5;30
1;A5509.txt;genetic;55;greedy;4377;54;1338;9;597;1000;100;0.5;30
1;A6009.txt;genetic;60;greedy;6329;59;1722;9;627;1000;100;0.5;30
1;A6109.txt;genetic;61;greedy;4470;60;1478;10;650;1000;100;0.5;30
1;A6208.txt;genetic;62;greedy;7106;61;1839;8;623;1000;100;0.5;30
1;A6310.txt;genetic;63;greedy;5761;62;1875;10;659;1000;100;0.5;30
1;A6409.txt;genetic;64;greedy;7632;63;1956;9;655;1000;100;0.5;30
1;A6509.txt;genetic;65;greedy;5722;64;1882;11;659;1000;100;0.5;30
1;A6909.txt;genetic;69;greedy;5513;68;1636;10;699;1000;100;0.5;30
1;A8010.txt;genetic;80;greedy;11153;79;2576;10;771;1000;100;0.5;30
2;A3205.txt;genetic;32;greedy;3740;31;889;5;400;1000;100;0.5;30
2;A3305.txt;genetic;33;greedy;2618;32;744;5;409;1000;100;0.5;30
2;A3306.txt;genetic;33;greedy;2544;32;839;6;435;1000;100;0.5;30
2;A3405.txt;genetic;34;greedy;3155;33;850;5;416;1000;100;0.5;30
2;A3605.txt;genetic;36;greedy;3896;35;972;5;426;1000;100;0.5;30
2;A3705.txt;genetic;37;greedy;2755;36;772;5;432;1000;100;0.5;30
2;A3706.txt;genetic;37;greedy;3812;36;1174;6;451;1000;100;0.5;30
2;A3805.txt;genetic;38;greedy;3075;37;870;5;434;1000;100;0.5;30
2;A3905.txt;genetic;39;greedy;3618;38;1009;5;445;1000;100;0.5;30
2;A3906.txt;genetic;39;greedy;3489;38;972;6;449;1000;100;0.5;30
2;A4406.txt;genetic;44;greedy;4168;43;1199;7;484;1000;100;0.5;30
2;A4506.txt;genetic;45;greedy;4284;44;1222;7;497;1000;100;0.5;30
2;A4507.txt;genetic;45;greedy;5114;44;1381;7;498;1000;100;0.5;30
2;A4607.txt;genetic;46;greedy;4039;45;1066;7;496;1000;100;0.5;30
2;A5307.txt;genetic;53;greedy;5026;52;1462;7;571;1000;100;0.5;30
2;A5407.txt;genetic;54;greedy;5774;53;1580;8;566;1000;100;0.5;30
2;A5509.txt;genetic;55;greedy;4377;54;1477;9;605;1000;100;0.5;30
2;A6009.txt;genetic;60;greedy;6329;59;1848;9;621;1000;100;0.5;30
2;A6109.txt;genetic;61;greedy;4470;60;1446;11;646;1000;100;0.5;30
2;A6208.txt;genetic;62;greedy;7106;61;1867;9;626;1000;100;0.5;30
2;A6310.txt;genetic;63;greedy;5761;62;1711;10;654;1000;100;0.5;30
2;A6409.txt;genetic;64;greedy;7632;63;1836;10;639;1000;100;0.5;30
2;A6509.txt;genetic;65;greedy;5722;64;1730;11;670;1000;100;0.5;30
2;A6909.txt;genetic;69;greedy;5513;68;1729;10;698;1000;100;0.5;30
2;A8010.txt;genetic;80;greedy;11153;79;2847;12;762;1000;100;0.5;30
3;A3205.txt;genetic;32;greedy;3740;31;940;5;394;1000;100;0.5;30
3;A3305.txt;genetic;33;greedy;2618;32;745;5;408;1000;100;0.5;30
3;A3306.txt;genetic;33;greedy;2544;32;838;6;420;1000;100;0.5;30
3;A3405.txt;genetic;34;greedy;3155;33;817;5;412;1000;100;0.5;30
3;A3605.txt;genetic;36;greedy;3896;35;911;5;415;1000;100;0.5;30
3;A3705.txt;genetic;37;greedy;2755;36;765;5;426;1000;100;0.5;30
3;A3706.txt;genetic;37;greedy;3812;36;1133;7;445;1000;100;0.5;30
3;A3805.txt;genetic;38;greedy;3075;37;956;6;443;1000;100;0.5;30
3;A3905.txt;genetic;39;greedy;3618;38;997;5;446;1000;100;0.5;30
3;A3906.txt;genetic;39;greedy;3489;38;999;6;452;1000;100;0.5;30
3;A4406.txt;genetic;44;greedy;4168;43;1125;7;483;1000;100;0.5;30
3;A4506.txt;genetic;45;greedy;4284;44;1160;7;492;1000;100;0.5;30
